agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count
15,3.697449648706734e-05,0.2,0.38761185600540404,0.23258190340183724,1.06,1.9670694232671653,0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1
1,0.14984511474643689,0.2,0.14951801737242423,0.1496488563220293,1.22,1.8036305396559142,0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1
2,0.4737265966771876,0.2,0.15261849931288948,0.2810617382586087,1.3800000000000001,2.476140779208574,0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1
3,0.231964695539853,0.2,0.15647910496814085,0.18667334119682572,1.1400000000000001,1.8680260306676204,0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1
4,0.14442661854003544,0.2,0.1537725223411414,0.150034160820699,1.3,1.885133227200726,0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1
15,3.697449648706734e-05,0.34256624937850655,0.38761185600540404,0.23258190340183724,1.06,1.9670694232671653,0,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1
1,0.14984511474643689,0.16163874140130519,0.14951801737242423,0.1496488563220293,1.22,1.8036305396559142,0,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1
2,0.4737265966771876,0.1639947976278647,0.15261849931288948,0.2810617382586087,1.3800000000000001,2.476140779208574,0,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1
3,0.231964695539853,0.16692847186529025,0.15647910496814085,0.18667334119682572,1.1400000000000001,1.8680260306676204,0,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1
4,0.14442661854003544,0.16487173972703334,0.1537725223411414,0.150034160820699,1.3,1.885133227200726,0,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1
15,3.697449648706734e-05,0.3758861150050663,0.38761185600540404,0.23258190340183724,1.06,1.9670694232671653,0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
1,0.14984511474643689,0.15267314128664772,0.14951801737242423,0.1496488563220293,1.22,1.8036305396559142,0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
2,0.4737265966771876,0.1555798431058339,0.15261849931288948,0.2810617382586087,1.3800000000000001,2.476140779208574,0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
3,0.231964695539853,0.15919916090763203,0.15647910496814085,0.18667334119682572,1.1400000000000001,1.8680260306676204,0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
4,0.14442661854003544,0.15666173969482006,0.1537725223411414,0.150034160820699,1.3,1.885133227200726,0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1
15,3.697449648706734e-05,0.38761185600540404,0.38761185600540404,0.23258190340183724,1.06,1.9670694232671653,0,2,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1
