seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_evaluation_engine,final_full_evaluation_engine_losses,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.38761185600540404, 0.14951801737242423, 0.15261849931288948, 0.15647910496814085, 0.1537725223411414]",1,False,no_update_baseline,0.0,0,0,0.002007465785028464,0.01589525043964386,0.01589525043964386,bfgs,"{""bfgs"": 0.01589525043964386, ""custom"": 0.019575683772563933}",0.37522371201080806,0.2,3405,6045,ok,10.0
0,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.34256624937850655, 0.16163874140130519, 0.1639947976278647, 0.16692847186529025, 0.16487173972703334]","[0.38761185600540404, 0.14951801737242423, 0.15261849931288948, 0.15647910496814085, 0.1537725223411414]",5,False,max_rounds,0.3,5,0,0.014939483877284304,0.01589525043964386,0.019582870602607726,bfgs,"{""bfgs"": 0.01589525043964386, ""custom"": 0.019575683772563933}",0.09009121325379502,0.34256624937850655,10480,30225,ok,10.0
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.3758861150050663, 0.15267314128664772, 0.1555798431058339, 0.15919916090763203, 0.15666173969482006]","[0.38761185600540404, 0.14951801737242423, 0.15261849931288948, 0.15647910496814085, 0.1537725223411414]",5,False,max_rounds,0.5,5,0,0.014128159603099877,0.01589525043964386,0.019900830835103987,bfgs,"{""bfgs"": 0.01589525043964386, ""custom"": 0.019575683772563933}",0.023451482000675483,0.3758861150050663,9730,30225,ok,10.0
0,2,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.38761185600540404, 0.14951801737242423, 0.15261849931288948, 0.15647910496814085, 0.1537725223411414]","[0.38761185600540404, 0.14951801737242423, 0.15261849931288948, 0.15647910496814085, 0.1537725223411414]",2,True,fixed_point_tolerance,1.0,2,0,0.014127998851134221,0.01589525043964386,0.0199395552277565,bfgs,"{""bfgs"": 0.01589525043964386, ""custom"": 0.019575683772563933}",0.0,0.38761185600540404,4785,12090,ok,10.0
0,5,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[4.637614459823592e-05, 0.16233495924586727, 0.3848564806039702, 0.23327183262987206, 0.21949035137569237]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.03581989433462496, 0.03770223207425201, 0.36366781211706084, 0.007937848758027919, 0.5548722127160343]",1,False,no_update_baseline,0.0,0,0,0.02431038525329329,0.015749897062778472,0.015749897062778472,bfgs,"{""bfgs"": 0.015749897062778472, ""custom"": 0.04057299941778183}",1.0370800496661903,0.2,2240,14540,ok,10.0
0,5,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[4.637614459823592e-05, 0.16233495924586727, 0.3848564806039702, 0.23327183262987206, 0.21949035137569237]","[0.0752395377048815, 0.0766699261532241, 0.32437117042775454, 0.05405197127122541, 0.4696673944429144]","[0.03581989433462496, 0.03770223207425201, 0.36366781211706084, 0.007937848758027919, 0.5548722127160343]",5,False,max_rounds,0.3,5,0,0.004046188990853725,0.015749897062778472,0.0286453515291214,bfgs,"{""bfgs"": 0.015749897062778472, ""custom"": 0.04057299941778183}",0.2490029199248523,0.0752395377048815,15055,72700,ok,10.0
0,5,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[4.637614459823592e-05, 0.16233495924586727, 0.3848564806039702, 0.23327183262987206, 0.21949035137569237]","[0.0460811509387109, 0.04784584256961126, 0.35343857385974453, 0.019941733210651173, 0.5326926994212822]","[0.03581989433462496, 0.03770223207425201, 0.36366781211706084, 0.007937848758027919, 0.5548722127160343]",5,False,max_rounds,0.5,5,0,0.05801679663447909,0.015749897062778472,0.10598458647727967,bfgs,"{""bfgs"": 0.015749897062778472, ""custom"": 0.04057299941778183}",0.06481750310413685,0.0460811509387109,12275,72700,ok,10.0
0,5,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[4.637614459823592e-05, 0.16233495924586727, 0.3848564806039702, 0.23327183262987206, 0.21949035137569237]","[0.03581989433462496, 0.03770223207425201, 0.36366781211706084, 0.007937848758027919, 0.5548722127160343]","[0.03581989433462496, 0.03770223207425201, 0.36366781211706084, 0.007937848758027919, 0.5548722127160343]",2,True,fixed_point_tolerance,1.0,2,0,0.06444122863721534,0.015749897062778472,0.06539878100156785,bfgs,"{""bfgs"": 0.015749897062778472, ""custom"": 0.04057299941778183}",0.0,0.03581989433462496,5155,29080,ok,10.0
1,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.004, 0.004, 0.004, 0.10083538348307565, 0.8871646165169244]",1,False,no_update_baseline,0.0,0,0,0.0024432934588861643,0.02472555749118328,0.02472555749118328,custom,"{""bfgs"": 0.13691198080778122, ""custom"": 0.02472555749118328}",1.3743292330338486,0.2,1095,4325,ok,10.0
1,2,0.3,0.0,uniform,0,uniform,0.3,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[0.05105960000000002, 0.05105960000000002, 0.05105960000000002, 0.12464480790878918, 0.7221763920912108]","[0.004, 0.004, 0.004, 0.10083538348307565, 0.8871646165169244]",5,False,max_rounds,0.3,5,0,0.036813684707811656,0.02472555749118328,0.041146449744701385,custom,"{""bfgs"": 0.13691198080778122, ""custom"": 0.02472555749118328}",0.3299764488514272,0.05105960000000002,3635,21625,ok,10.0
