seed,dimension,poison_ratio,target,initialization,evaluator,update_rate,round,target_error,evaluation_loss,consistency_l1,update_l1,informative,stage3_requests_cumulative,contribution_requests_cumulative
0,2,0.0,0.0,stage0,optimization,0.0,0,0.02341123766175328,0.001623808446497633,0.9915335686850413,0.0,True,306,873
0,2,0.0,0.0,stage0,optimization,0.3,0,0.02341123766175328,0.001623808446497633,0.9915335686850413,0.2974600706055124,True,306,873
0,2,0.0,0.0,stage0,optimization,0.3,1,0.024939210706381658,0.0014872434995509376,0.6365840255712241,0.19097520767136722,True,657,1701
0,2,0.0,0.0,stage0,optimization,0.3,2,0.031406324763760034,0.00440988842840084,0.2695462232457765,0.08086386697373293,True,855,2280
0,2,0.0,0.0,stage0,optimization,0.3,3,0.03140631742786576,0.0038242094030023115,0.40692860187355295,0.12207858056206589,True,1053,3003
0,2,0.0,0.0,stage0,optimization,0.3,4,0.03140634410229308,0.0032842631961246625,0.12675747957537586,0.03802724387261275,True,1272,3753
0,2,0.0,0.0,stage0,optimization,0.3,5,0.03140631831758231,0.003025973483880005,0.22807065589199144,0.06842119676759743,True,1458,4710
0,2,0.0,0.0,stage0,uniform,0.0,0,0.02341123766175328,0.0018032121006399393,0.7477336504902925,0.0,True,306,777
0,2,0.0,0.0,stage0,uniform,0.3,0,0.02341123766175328,0.0018032121006399393,0.7477336504902925,0.2243200951470877,True,306,777
0,2,0.0,0.0,stage0,uniform,0.3,1,0.02589626851165724,0.0018997697625309229,0.5246233594601595,0.1573870078380478,True,654,1554
0,2,0.0,0.0,stage0,uniform,0.3,2,0.03140628558209611,0.006924870501582821,0.43541914511291097,0.13062574353387335,True,855,2331
0,2,0.0,0.0,stage0,uniform,0.3,3,0.03140633298937082,0.0069249038739750786,0.30479389123586154,0.09143816737075844,True,1044,3108
0,2,0.0,0.0,stage0,uniform,0.3,4,0.03140631920729886,0.006924894095088045,0.2133555803842115,0.0640066741152635,True,1254,3885
0,2,0.0,0.0,stage0,uniform,0.3,5,0.0314063203151773,0.006924895957733194,0.14934893359863813,0.04480468007959139,True,1446,4662
0,2,0.0,0.0,uniform,optimization,0.0,0,0.025550440028532184,0.0018870764567206302,0.8377785543617249,0.0,True,342,777
0,2,0.0,0.0,uniform,optimization,0.3,0,0.025550440028532184,0.0018870764567206302,0.8377785543617249,0.2513335663085175,True,342,777
0,2,0.0,0.0,uniform,optimization,0.3,1,0.025453291870388292,0.0049586787194050765,0.8370224441555427,0.2511067332466629,True,540,1590
