agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count
9,0.37783050244682936,0.3333333333333333,0.41671087547428515,0.40115872626330285,1.3,3.7791609283072116,0,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,
19,0.3661713185043505,0.3333333333333333,0.1146258316685711,0.21524402640288284,1.3,2.630208083169816,0,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,
16,0.25599817904882005,0.3333333333333333,0.4686632928571438,0.3835972473338143,1.22,3.590630988522972,0,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,
9,0.37783050244682936,0.3434672953765706,0.41670328808483553,0.4011541738296331,1.3,3.7791327942671327,0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,
19,0.3661713185043505,0.3067509531919865,0.11560216614561065,0.21582982708910659,1.3,2.6338283314106787,0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,
16,0.25599817904882005,0.3497817514314429,0.46769454576955377,0.38301599908126027,1.22,3.5870388743221886,0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,
9,0.37783050244682936,0.37783050244682936,0.5134289364472054,0.45918956284705503,1.3,4.1377914983948,0,2,0.0,0.0,stage0,0,uniform,0.0,guarded,stage1,,
19,0.3661713185043505,0.3661713185043505,0.2281458454723083,0.28335603468512516,1.3,3.0511402943540737,0,2,0.0,0.0,stage0,0,uniform,0.0,guarded,stage1,,
16,0.25599817904882005,0.25599817904882005,0.25842521808048635,0.2574544024678198,1.22,2.811068207251126,0,2,0.0,0.0,stage0,0,uniform,0.0,guarded,stage1,,
12,0.47914489677342104,0.3333333333333333,0.4232695552346036,0.44561969185013056,1.3800000000000001,4.169579270981817,1,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,
3,0.32489874050365897,0.3333333333333333,0.29152972632670443,0.30487733199748623,1.1400000000000001,3.048532098304264,1,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,
16,0.19595636272291997,0.3333333333333333,0.28520071843869194,0.24950297615238315,1.22,2.7818886307139183,1,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,
12,0.47914489677342104,0.40741466747019306,0.4077384868887406,0.4363010508426127,1.3800000000000001,4.111244578274755,1,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,
3,0.32489874050365897,0.29890097394945797,0.29875056536180167,0.30920983541854463,1.1400000000000001,3.0756535697200897,1,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,
16,0.19595636272291997,0.293684358580349,0.2935109477494577,0.2544891137388426,1.22,2.8131018520051545,1,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,
12,0.47914489677342104,0.47914489677342104,0.4195543416711523,0.44339056371205976,1.3800000000000001,4.1556249288374945,1,2,0.0,0.0,stage0,0,uniform,0.0,guarded,stage1,,
3,0.32489874050365897,0.32489874050365897,0.29122180403135073,0.30469257862027405,1.1400000000000001,3.0473755421629156,1,2,0.0,0.0,stage0,0,uniform,0.0,guarded,stage1,,
16,0.19595636272291997,0.19595636272291997,0.28922385429749703,0.2519168576676662,1.22,2.7969995289995904,1,2,0.0,0.0,stage0,0,uniform,0.0,guarded,stage1,,
12,0.47914489677342104,0.21009361431015536,0.2777241996446711,0.3582924784961711,1.3800000000000001,3.622910915386031,1,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,
3,0.32489874050365897,0.40034820216782036,0.34096241582785336,0.3345369456981756,1.1400000000000001,3.2342012800705793,1,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,
16,0.19595636272291997,0.38955818352202426,0.3813133845274756,0.3071705758056533,1.22,3.1428878045433897,1,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,
8,0.5447762043385472,0.3333333333333333,0.9932871448970583,0.8138827686736538,1.1400000000000001,7.488285595654499,2,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,
10,0.4552237956614528,0.3333333333333333,0.006712855102941793,0.18611723132634622,1.06,2.5117144043455006,2,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,
8,0.37078571947339173,0.5533854706917235,0.5023951830990945,0.44975139764881333,1.1400000000000001,4.171324420153002,2,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,
10,0.3098345361847824,0.0182508134681591,0.014344811105022141,0.13254070113692626,1.06,1.9533243256628832,2,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,
20,0.319379744341826,0.42836371584011745,0.4832600057958833,0.4177079012142604,1.06,3.8753512541841153,2,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,
8,0.5447762043385472,0.37078571947339173,0.993287144900236,0.8138827686755605,1.1400000000000001,7.488285595669373,2,2,0.0,0.0,stage0,0,uniform,0.0,guarded,stage1,,
10,0.4552237956614528,0.3098345361847824,0.0067128550997640445,0.18611723132443958,1.06,2.511714404330629,2,2,0.0,0.0,stage0,0,uniform,0.0,guarded,stage1,,
8,0.37078571947339173,0.56215779686322,0.5015907732017495,0.44926875171040637,1.1400000000000001,4.168071386528139,2,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,
10,0.3098345361847824,0.017613606421524076,0.015922654686220103,0.13348740728564504,1.06,1.9597051251052475,2,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,
20,0.319379744341826,0.420228596715256,0.48248657211203033,0.41724384100394857,1.06,3.8722234883666133,2,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,
1,1.0,0.32587384365854005,1.0,1.0,1.22,10.0,3,2,0.0,0.0,stage0,0,uniform,0.0,guarded,stage1,,
4,0.4115740775572319,0.13077668909290022,0.21446639250578217,0.29330946652636203,1.3,3.136117260455026,3,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,
1,0.32587384365854005,0.7803590820235269,0.5710697718752539,0.47299140058856837,1.22,4.180926167684438,3,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,
16,0.262552078784228,0.08886422888357288,0.21446383561896395,0.23369913288506955,1.22,2.6829565718605353,3,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,
18,0.3493537306424939,0.3333333333333333,0.7609663681102717,0.5963213131231606,1.1400000000000001,4.968382830250691,6,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,
19,0.37236512971503266,0.3333333333333333,0.1203605529500675,0.22116238365605356,1.3,2.719862503071864,6,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,
