seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,final_accepted_round,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
0,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.41671087547428515, 0.1146258316685711, 0.4686632928571438]",1,0,False,no_update_baseline,0.0,0,0,0.025548551012645616,0.0018865785095840693,0.0018865785095840693,stage3_l_opt,l_opt_current_alpha,0.43741500332952454,0.0,564,1362,ok,10.0
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.3434672953765706, 0.3067509531919865, 0.3497817514314429]","[0.41670328808483553, 0.11560216614561065, 0.46769454576955377]",20,5,False,max_rounds,0.05,2,17,0.025226067150815094,0.0018774229877938826,0.0018774229877938826,stage3_l_opt,l_opt_current_alpha,0.3822975740927516,0.0,15189,32754,ok,10.0
0,2,0.0,0.0,stage0,0,uniform,0.0,guarded,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.37783050244682936, 0.3661713185043505, 0.25599817904882005]","[0.5134289364472054, 0.2281458454723083, 0.25842521808048635]",1,0,False,no_update_baseline,0.0,0,0,0.023402767738234614,0.0018011358721802633,0.0018011358721802633,stage3_l_opt,l_opt_current_alpha,0.27605094606408453,0.0,561,1542,ok,10.0
0,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.37783050244682936, 0.3661713185043505, 0.25599817904882005]","[0.5134289364472054, 0.2281458454723083, 0.25842521808048635]",3,0,False,uninformative_contribution,0.25,0,2,0.023402767738234614,0.0018011358721802633,0.0018011358721802633,stage3_l_opt,l_opt_current_alpha,0.27605094606408453,0.0,1815,4974,rejected_uninformative_contribution,
1,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.4232695552346036, 0.29152972632670443, 0.28520071843869194]",1,0,False,no_update_baseline,0.0,0,0,0.014061640698106457,0.0020194388926029205,0.0020194388926029205,stage3_l_opt,l_opt_current_alpha,0.17987244380254053,0.0,141,777,ok,10.0
1,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.40741466747019306, 0.29890097394945797, 0.293684358580349]","[0.4077384868887406, 0.29875056536180167, 0.2935109477494577]",6,5,True,fixed_point_tolerance,0.5,5,0,0.014579331208975737,0.0018643053869406383,0.0018643053869406383,stage3_l_opt,l_opt_current_alpha,0.0006476388370951769,0.0,1338,6705,ok,10.0
1,2,0.0,0.0,stage0,0,uniform,0.0,guarded,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.4195543416711523, 0.29122180403135073, 0.28922385429749703]",1,0,False,no_update_baseline,0.0,0,0,0.014554193349556644,0.001972345014413198,0.001972345014413198,stage3_l_opt,l_opt_current_alpha,0.18653498314915404,0.0,285,1128,ok,10.0
1,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.21009361431015536, 0.40034820216782036, 0.38955818352202426]","[0.2777241996446711, 0.34096241582785336, 0.3813133845274756]",20,5,False,max_rounds,0.05,5,14,0.014805782860092842,0.00018091127276420593,0.00018091127276420593,stage3_l_opt,l_opt_current_alpha,0.1352611706690314,0.0,4305,23844,ok,10.0
2,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,,"[8, 10, 20]","[0.3707857194733917, 0.30983453618478235, 0.3193797443418259]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.9866652305977446, 0.006668102735588849, 0.006666666666666667]",1,0,False,no_update_baseline,0.0,0,0,0.0001834626648221649,0.008319194739063581,0.008319194739063581,stage3_l_opt,l_opt_current_alpha,1.3066637945288224,0.0,822,1710,ok,10.0
2,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[8, 10, 20]","[0.3707857194733917, 0.30983453618478235, 0.3193797443418259]","[0.5533854706917235, 0.0182508134681591, 0.42836371584011745]","[0.5023951830990945, 0.014344811105022141, 0.4832600057958833]",20,17,False,max_rounds,0.05,13,6,0.00018353695198486397,0.008319164936741194,0.008319164936741194,stage3_l_opt,l_opt_current_alpha,0.10979257991153182,0.0,14538,29982,ok,10.000000000000002
