agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count
15,3.697449648706734e-05,0.2,0.5771324013523094,0.34629423060998044,1.06,2.4105474993789233,0,2,0.3,0.0,uniform,0,trimmed,0.0,guarded,controlled,5,1
1,0.14984511474643689,0.2,0.09223636469067262,0.11527986471297832,1.22,1.6695914723806153,0,2,0.3,0.0,uniform,0,trimmed,0.0,guarded,controlled,5,1
2,0.4737265966771876,0.2,0.07651918160605413,0.2354021476345075,1.3800000000000001,2.2980683757745792,0,2,0.3,0.0,uniform,0,trimmed,0.0,guarded,controlled,5,1
3,0.231964695539853,0.2,0.05770990332660365,0.1274118202119034,1.1400000000000001,1.6369060988264232,0,2,0.3,0.0,uniform,0,trimmed,0.0,guarded,controlled,5,1
4,0.14442661854003544,0.2,0.19640214902436012,0.17561193683063026,1.3,1.984886553639458,0,2,0.3,0.0,uniform,0,trimmed,0.0,guarded,controlled,5,1
15,3.697449648706734e-05,0.21885662006761547,0.5091969297793153,0.305532947666184,1.06,2.2515784958981175,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1
1,0.14984511474643689,0.19461181823453363,0.09906571272861965,0.11937747353574654,1.22,1.6855721467894114,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1
2,0.4737265966771876,0.1938259590803027,0.09361933502743337,0.24566223968733505,1.3800000000000001,2.3380827347806066,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1
3,0.231964695539853,0.1928854951663302,0.06450851319277785,0.13149098613160792,1.1400000000000001,1.652814845913271,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1
4,0.14442661854003544,0.199820107451218,0.23360950927185392,0.1979363529791265,1.3,2.0719517766185933,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1
3,0.6162859950870674,0.231964695539853,0.789667415780532,0.7203148475031461,1.1400000000000001,6.585580247123785,0,2,0.3,0.0,stage0,0,trimmed,0.0,guarded,controlled,5,1
4,0.3837140049129325,0.14442661854003544,0.21033258421946793,0.2796851524968538,1.3,3.4144197528762144,0,2,0.3,0.0,stage0,0,trimmed,0.0,guarded,controlled,5,1
15,3.697449648706734e-05,0.0013992645133196382,0.11582183943049398,0.06950789345689122,1.06,1.3310807844818757,0,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1
1,0.14984511474643689,0.10025089662750969,0.041946897201552244,0.08510618421950611,1.22,1.5519141184560739,0,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1
2,0.4737265966771876,0.3122580790694044,0.04755855387845302,0.21802577099794684,1.3800000000000001,2.2303005068919926,0,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1
3,0.231964695539853,0.4453536616084356,0.6384893754993387,0.4758795035155444,1.1400000000000001,2.995930063710623,0,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1
4,0.14442661854003544,0.14073809818133076,0.15618333399016204,0.1514806478101114,1.3,1.8907745264594342,0,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1
3,0.7469625668031568,0.2,0.0413183405695778,0.3235760310630094,1.1400000000000001,3.586234794836351,1,2,0.3,0.0,uniform,0,trimmed,0.0,guarded,controlled,5,1
4,0.2530374331968432,0.2,0.9586816594304223,0.6764239689369906,1.3,6.4137652051636485,1,2,0.3,0.0,uniform,0,trimmed,0.0,guarded,controlled,5,1
15,1.8712935268155107e-05,0.18167813411465344,0.39719102875385864,0.23832210242642243,1.06,1.9894561994630475,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1
1,0.03626475100456905,0.1359503016969348,0.02986030691008827,0.03242208454788058,1.22,1.3464461297367343,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1
2,0.18851922852153685,0.14330316615341054,0.02207477873608174,0.0886525586502638,1.3800000000000001,1.7257449787360288,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1
3,0.5790433706179482,0.16351966314369473,0.11195115882088542,0.29878804353971056,1.1400000000000001,2.305273369804871,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1
4,0.19615393692067778,0.3755487348913065,0.438922726779086,0.34181521083572275,1.3,2.6330793222593183,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1
15,1.8712935268155107e-05,1.8712935268155107e-05,0.4025322977152655,0.24152686380326654,1.06,2.0019547688327393,1,2,0.3,0.0,stage0,0,trimmed,0.0,guarded,controlled,5,1
1,0.03626475100456905,0.03626475100456905,0.0842569781468765,0.06506008728995352,1.22,1.4737343404308187,1,2,0.3,0.0,stage0,0,trimmed,0.0,guarded,controlled,5,1
2,0.18851922852153685,0.18851922852153685,0.08021952108859541,0.123539404061772,1.3800000000000001,1.8618036758409109,1,2,0.3,0.0,stage0,0,trimmed,0.0,guarded,controlled,5,1
