seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,final_accepted_round,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
0,2,0.3,0.0,uniform,0,trimmed,0.0,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.5771324013523095, 0.09223636469067263, 0.07651918160605414, 0.05770990332660366, 0.19640214902436018]",1,0,False,no_update_baseline,0.0,0,0,0.002007465785028464,0.015531321366628012,0.015531321366628012,stage3_l_opt,l_opt_current_alpha,0.7542648027046188,0.2,3405,2710,ok,9.999999999999998
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.21885662006761547, 0.19461181823453363, 0.1938259590803027, 0.1928854951663302, 0.199820107451218]","[0.5091969297793153, 0.09906571272861965, 0.09361933502743337, 0.06450851319277785, 0.23360950927185392]",20,5,False,max_rounds,0.05,1,18,0.005407011563833985,0.015430785715579987,0.015430785715579987,stage3_l_opt,l_opt_current_alpha,0.6482594230646714,0.21885662006761547,53255,58985,ok,10.0
0,2,0.3,0.0,stage0,0,trimmed,0.0,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.004, 0.004, 0.004, 0.7801914067911656, 0.20780859320883432]",1,0,False,no_update_baseline,0.0,0,0,0.03530427682276163,0.02548761914173762,0.02548761914173762,stage3_l_opt,l_opt_current_alpha,1.2311434228472489,3.697449648706734e-05,745,3030,ok,10.0
0,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.0013992645133196382, 0.10025089662750969, 0.3122580790694044, 0.4453536616084356, 0.14073809818133076]","[0.11582183943049398, 0.041946897201552244, 0.04755855387845302, 0.6384893754993387, 0.15618333399016204]",20,4,False,max_rounds,0.05,2,17,0.03332666412190166,0.022705741226673126,0.022705741226673126,stage3_l_opt,l_opt_current_alpha,0.6460070492338176,0.0013992645133196382,14490,70095,ok,10.0
1,2,0.3,0.0,uniform,0,trimmed,0.0,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.004, 0.004, 0.004, 0.04082252048274286, 0.9471774795172572]",1,0,False,no_update_baseline,0.0,0,0,0.0024432934588861643,0.017546817660331726,0.017546817660331726,stage3_l_opt,l_opt_current_alpha,1.4943549590345144,0.2,1095,3095,ok,10.0
1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[0.18167813411465344, 0.1359503016969348, 0.14330316615341054, 0.16351966314369473, 0.3755487348913065]","[0.39719102875385853, 0.02986030691008826, 0.022074778736081737, 0.1119511588208854, 0.4389227267790859]",20,5,False,max_rounds,0.05,3,16,0.006232791632557119,0.01510435901582241,0.01510435901582241,stage3_l_opt,l_opt_current_alpha,0.5577737730539691,0.18167813411465344,13015,68180,ok,10.0
1,2,0.3,0.0,stage0,0,trimmed,0.0,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[0.4025322977152655, 0.0842569781468765, 0.08021952108859541, 0.059355107004883195, 0.3736360960443794]",1,0,False,no_update_baseline,0.0,0,0,0.009030469664017021,0.02370322309434414,0.02370322309434414,stage3_l_opt,l_opt_current_alpha,1.255975942092013,1.8712935268155107e-05,435,3145,ok,10.0
1,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[0.4025322977152655, 0.0842569781468765, 0.08021952108859541, 0.059355107004883195, 0.3736360960443794]",2,0,False,uninformative_contribution,0.5,0,1,0.009030469664017021,0.02370322309434414,0.02370322309434414,stage3_l_opt,l_opt_current_alpha,1.255975942092013,1.8712935268155107e-05,845,6800,rejected_uninformative_contribution,
2,2,0.3,0.0,uniform,0,trimmed,0.0,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.4510925661671696e-05, 0.3971784653041459, 0.19838676996741975, 0.3331301173641743, 0.07129013643859818]","[0.2, 0.2, 0.2, 0.2, 0.2]",[],1,0,False,uninformative_contribution,0.0,0,0,0.010939778881647204,0.009688896437486013,0.009688896437486013,stage3_l_opt,l_opt_current_alpha,,0.2,2315,8640,rejected_uninformative_contribution,
2,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.4510925661671696e-05, 0.3971784653041459, 0.19838676996741975, 0.3331301173641743, 0.07129013643859818]","[0.2, 0.2, 0.2, 0.2, 0.2]",[],1,0,False,uninformative_contribution,0.5,0,0,0.010939778881647204,0.009688896437486013,0.009688896437486013,stage3_l_opt,l_opt_current_alpha,,0.2,2315,8640,rejected_uninformative_contribution,
2,2,0.3,0.0,stage0,0,trimmed,0.0,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.4510925661671696e-05, 0.3971784653041459, 0.19838676996741975, 0.3331301173641743, 0.07129013643859818]","[1.45109256616717e-05, 0.397178465304146, 0.1983867699674198, 0.33313011736417436, 0.07129013643859819]","[0.10263002054265258, 0.2212627347418722, 0.33915486177779575, 0.3329523829376795, 0.004]",1,0,False,no_update_baseline,0.0,0,0,0.027938529554058997,0.008622147763768831,0.008622147763768831,stage3_l_opt,l_opt_current_alpha,0.48676720285473374,1.45109256616717e-05,2185,12355,ok,10.0
2,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.4510925661671696e-05, 0.3971784653041459, 0.19838676996741975, 0.3331301173641743, 0.07129013643859818]","[0.012841449627785535, 0.37518899898386177, 0.2159827814437168, 0.3331079005608625, 0.06287886938377342]","[0.1422502678045266, 0.2539415478899981, 0.26152515215542066, 0.32027513281260295, 0.022007899337451786]",20,3,False,max_rounds,0.05,1,18,0.0286987996188358,0.007441178585092227,0.007441178585092227,stage3_l_opt,l_opt_current_alpha,0.3499023777768897,0.012841449627785535,15775,177180,ok,9.999999999999998
3,2,0.3,0.0,uniform,0,trimmed,0.0,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.5604042502995442e-05, 0.36581384804451855, 0.08498693960807281, 0.08716586740163554, 0.4620177409032702]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.004, 0.004, 0.8917492119688847, 0.0962507880311153, 0.004]",1,0,False,no_update_baseline,0.0,0,0,0.014163818486100578,0.011099280168612799,0.011099280168612799,stage3_l_opt,l_opt_current_alpha,1.3834984239377695,0.2,1785,7140,ok,10.0
3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.5604042502995442e-05, 0.36581384804451855, 0.08498693960807281, 0.08716586740163554, 0.4620177409032702]","[0.1444769480617607, 0.1418125, 0.4003276908626697, 0.17157036107556944, 0.1418125]","[0.03683642633062097, 0.004, 0.6061308205452571, 0.08099455251658469, 0.27203820060753725]",20,5,False,max_rounds,0.05,2,17,0.012961034539050072,0.010429639369249344,0.010429639369249344,stage3_l_opt,l_opt_current_alpha,0.6720576605802492,0.1444769480617607,37935,182405,ok,9.999999999999998
3,2,0.3,0.0,stage0,0,trimmed,0.0,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.5604042502995442e-05, 0.36581384804451855, 0.08498693960807281, 0.08716586740163554, 0.4620177409032702]","[1.5604042502995442e-05, 0.36581384804451855, 0.08498693960807281, 0.08716586740163554, 0.4620177409032702]","[0.24474639661851433, 0.2523727743846832, 0.0530305248300164, 0.20345151683703075, 0.24639878732975531]",1,0,False,no_update_baseline,0.0,0,0,0.0018388386920607167,0.009918359418710073,0.009918359418710073,stage3_l_opt,l_opt_current_alpha,0.7220328840228132,1.5604042502995442e-05,1375,10255,ok,10.0
3,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.5604042502995442e-05, 0.36581384804451855, 0.08498693960807281, 0.08716586740163554, 0.4620177409032702]","[0.15856933527485753, 0.24063169631386938, 0.3346270758544512, 0.09352788227606909, 0.17264401028075282]","[0.12294939288515282, 0.09061613936904077, 0.6174174601397427, 0.16501700760606358, 0.004]",20,7,False,max_rounds,0.05,3,16,0.010095173423320891,0.00900202120343844,0.00900202120343844,stage3_l_opt,l_opt_current_alpha,0.7085590192305722,0.15856933527485753,39910,227995,ok,10.0
4,2,0.3,0.0,uniform,0,trimmed,0.0,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[4.3845710194547666e-05, 0.20936326927390417, 0.30968159678506796, 0.14790500406918805, 0.3330062841616452]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.3567791034505506, 0.3973841349564777, 0.10646509254522492, 0.06976170097728843, 0.0696099680704584]",1,0,False,no_update_baseline,0.0,0,0,0.018710285831912477,0.011898176123698553,0.011898176123698553,stage3_l_opt,l_opt_current_alpha,0.7083264768140565,0.2,3755,9795,ok,10.0
4,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[4.3845710194547666e-05, 0.20936326927390417, 0.30968159678506796, 0.14790500406918805, 0.3330062841616452]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.3567791034505506, 0.3973841349564777, 0.10646509254522492, 0.06976170097728843, 0.0696099680704584]",20,0,False,max_rounds,0.05,0,19,0.018710285831912477,0.011898176123698553,0.011898176123698553,stage3_l_opt,l_opt_current_alpha,0.7083264768140565,0.2,33935,156770,ok,10.0
4,2,0.3,0.0,stage0,0,trimmed,0.0,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[4.3845710194547666e-05, 0.20936326927390417, 0.30968159678506796, 0.14790500406918805, 0.3330062841616452]","[4.3845710194547666e-05, 0.20936326927390417, 0.30968159678506796, 0.14790500406918805, 0.3330062841616452]","[0.10233770857728786, 0.3107254121572348, 0.17504960817145446, 0.31681446230462557, 0.09507280878939725]",1,0,False,no_update_baseline,0.0,0,0,0.016114011402384457,0.01870731512705485,0.01870731512705485,stage3_l_opt,l_opt_current_alpha,0.7451309279717229,4.3845710194547666e-05,2830,7245,ok,10.0
4,2,0.3,0.0,stage0,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[4.3845710194547666e-05, 0.20936326927390417, 0.30968159678506796, 0.14790500406918805, 0.3330062841616452]","[4.3845710194547666e-05, 0.20936326927390417, 0.30968159678506796, 0.14790500406918805, 0.3330062841616452]","[0.10233770857728786, 0.3107254121572348, 0.17504960817145446, 0.31681446230462557, 0.09507280878939725]",20,0,False,max_rounds,0.05,0,19,0.016114011402384457,0.01870731512705485,0.01870731512705485,stage3_l_opt,l_opt_current_alpha,0.7451309279717229,4.3845710194547666e-05,31340,126695,ok,10.0
