seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,final_accepted_round,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,payment_contribution_source,payment_fallback_reason,payment_contribution_weights,payment_requests,paid_total
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.9862258243130678, 0.006719888043347694, 0.0070542876435845114]","[0.9866665533283745, 0.006666780004958796, 0.006666666666666667]",14,13,True,fixed_point_tolerance,0.5,13,0,0.03140633849761555,0.006924906357501944,0.006924906357501944,stage3_l_opt,l_opt_current_alpha,0.0008814580306134153,0.0,9393,21051,ok,eval,,"[1.0, 0.0, 0.0]",0,10.0
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.3434672953765706, 0.3067509531919865, 0.3497817514314429]","[0.41670328808483553, 0.11560216614561065, 0.46769454576955377]",200,5,False,max_rounds,0.05,2,197,0.025226067150815094,0.0018774229877938826,0.0018774229877938826,stage3_l_opt,l_opt_current_alpha,0.3822975740927516,0.0,143169,351354,ok,eval,,"[0.4184047157328254, 0.11115867293769795, 0.4704366113294767]",0,10.0
1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.40741466747019306, 0.29890097394945797, 0.293684358580349]","[0.4077384868887406, 0.29875056536180167, 0.2935109477494577]",6,5,True,fixed_point_tolerance,0.5,5,0,0.014579331208975737,0.0018643053869406383,0.0018643053869406383,stage3_l_opt,l_opt_current_alpha,0.0006476388370951769,0.0,1338,6705,ok,eval,,"[0.4092569594102795, 0.29804479458687244, 0.292698246002848]",0,10.0
1,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.40741466747019306, 0.29890097394945797, 0.293684358580349]","[0.4077384868887406, 0.29875056536180167, 0.2935109477494577]",6,5,True,fixed_point_tolerance,0.5,5,0,0.014579331208975737,0.0018643053869406383,0.0018643053869406383,stage3_l_opt,l_opt_current_alpha,0.0006476388370951769,0.0,1338,6705,ok,eval,,"[0.4092569594102795, 0.29804479458687244, 0.292698246002848]",0,10.0
2,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[8, 10, 20]","[0.3707857194733917, 0.30983453618478235, 0.3193797443418259]","[0.4857690943669494, 0.006673097035678265, 0.5075578085973723]","[0.4854197127164646, 0.006666666666666667, 0.5079136206168687]",35,34,True,fixed_point_tolerance,0.5,34,0,0.0012645033670453665,0.008726741497715315,0.008726741497715315,stage3_l_opt,l_opt_current_alpha,0.0007116240389928282,0.0,25623,50979,ok,eval,,"[0.48852351637734487, 0.0, 0.5114764836226552]",0,10.0
2,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[8, 10, 20]","[0.3707857194733917, 0.30983453618478235, 0.3193797443418259]","[0.5533854706917235, 0.0182508134681591, 0.42836371584011745]","[0.5023951830990945, 0.014344811105022141, 0.4832600057958833]",200,17,False,max_rounds,0.05,13,186,0.00018353695198486397,0.008319164936741194,0.008319164936741194,stage3_l_opt,l_opt_current_alpha,0.10979257991153182,0.0,133338,266502,ok,eval,,"[0.5058454249310488, 0.007834841263628035, 0.4863197338053231]",0,10.000000000000002
3,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[4, 1, 16]","[0.4115740775572319, 0.32587384365854005, 0.262552078784228]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.004999435120968676,0.02738967289527257,0.02738967289527257,stage3_l_opt,l_opt_current_alpha,,0.0,294,1176,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
3,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[4, 1, 16]","[0.4115740775572319, 0.32587384365854005, 0.262552078784228]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.004999435120968676,0.02738967289527257,0.02738967289527257,stage3_l_opt,l_opt_current_alpha,,0.0,294,1176,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
4,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[10, 8, 20]","[0.4262723871098569, 0.33062692807109606, 0.2431006848190471]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.01943451119062034,0.016788107653458912,0.016788107653458912,stage3_l_opt,l_opt_current_alpha,,0.0,231,849,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
4,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[10, 8, 20]","[0.4262723871098569, 0.33062692807109606, 0.2431006848190471]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.01943451119062034,0.016788107653458912,0.016788107653458912,stage3_l_opt,l_opt_current_alpha,,0.0,231,849,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],3,
