agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,payment_contribution_source,payment_fallback_reason
15,1.0,0.5259635003751094,1.0,1.0,1.06,10.0,0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,eval,
15,3.697449648706734e-05,0.21885662006761547,0.5155070712033829,0.30931903252062454,1.06,2.2663442268304355,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
1,0.14984511474643689,0.19461181823453363,0.097005829314918,0.11814154348752556,1.22,1.6807520196013497,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
2,0.4737265966771876,0.1938259590803027,0.09144830104840139,0.24435961929991587,1.3800000000000001,2.333002515269672,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
3,0.231964695539853,0.1928854951663302,0.06174338080895698,0.1298319067013154,1.1400000000000001,1.64634443613513,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
4,0.14442661854003544,0.199820107451218,0.2342954176243407,0.19834789799061858,1.3,2.0735568021634125,0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
4,1.0,0.30829611775598154,1.0,1.0,1.3,10.0,1,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
15,1.8712935268155107e-05,0.18167813411465344,0.40121533546312105,0.24073668645197988,1.06,1.9988730771627214,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
1,0.03626475100456905,0.1359503016969348,0.026388068275600276,0.030338741367187786,1.22,1.3383210913320323,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
2,0.18851922852153685,0.14330316615341054,0.01844365177151198,0.08647388247152193,1.3800000000000001,1.7172481416389356,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
3,0.5790433706179482,0.16351966314369473,0.11015424369478104,0.2977098944640479,1.1400000000000001,2.3010685884097866,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
4,0.19615393692067778,0.3755487348913065,0.44379870079498573,0.3447407952452626,1.3,2.644489101456524,1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
3,0.15871898957559782,0.009763809933835719,0.5039907067115915,0.36588201985719404,1.1400000000000001,3.906068070120387,3,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
4,0.8412810104244021,0.04411899258797472,0.4960092932884084,0.6341179801428058,1.3,6.093931929879612,3,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,opt_fallback,no_positive_eval_contribution
15,2.4604830072181726e-05,0.1444769480617607,0.03350655748022547,0.020113776420164157,1.06,1.1629825352712406,3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
2,0.13400945344836024,0.4003276908626697,0.6144192046380175,0.4222553041621546,1.3800000000000001,3.541947157310231,3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
3,0.13744523927692825,0.17157036107556944,0.07856586991488233,0.1021176176597007,1.1400000000000001,1.6628422024176677,3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
4,0.7285207024446393,0.1418125,0.2735083679668747,0.45551330175798055,1.3,3.63222810500086,3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,eval,
