seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,final_accepted_round,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,payment_contribution_source,payment_fallback_reason,payment_contribution_weights,payment_requests,paid_total
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.5259635003751094, 0.004, 0.00421967501507153, 0.05453963347421339, 0.4112771911356057]","[0.984, 0.004, 0.004, 0.004, 0.004]",200,199,False,max_rounds,0.5,199,0,0.014768292046978285,0.017145512004693348,0.017145512004693348,stage3_l_opt,l_opt_current_alpha,0.9160729992497811,0.5259635003751094,217995,525345,ok,eval,,"[1.0, 0.0, 0.0, 0.0, 0.0]",0,10.0
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.21885662006761547, 0.19461181823453363, 0.1938259590803027, 0.1928854951663302, 0.199820107451218]","[0.5091969297793153, 0.09906571272861965, 0.09361933502743337, 0.06450851319277785, 0.23360950927185392]",200,5,False,max_rounds,0.05,1,198,0.005407011563833985,0.015430785715579987,0.015430785715579987,stage3_l_opt,l_opt_current_alpha,0.6482594230646714,0.21885662006761547,498755,600785,ok,eval,,"[0.5155070712033829, 0.097005829314918, 0.09144830104840139, 0.06174338080895698, 0.2342954176243407]",0,10.0
1,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[0.01687741166735416, 0.2634602695541533, 0.3638838906352645, 0.04748231038724658, 0.30829611775598154]",[],5,4,False,uninformative_contribution,0.5,4,0,0.03698250705334796,0.03603204836448034,0.03603204836448034,stage3_l_opt,l_opt_current_alpha,,0.01687741166735416,3175,15165,ok,opt_fallback,no_positive_eval_contribution,"[0.0, 0.0, 0.0, 0.0, 1.0]",5,10.0
1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[0.18167813411465344, 0.1359503016969348, 0.14330316615341054, 0.16351966314369473, 0.3755487348913065]","[0.39719102875385853, 0.02986030691008826, 0.022074778736081737, 0.1119511588208854, 0.4389227267790859]",200,5,False,max_rounds,0.05,3,196,0.006232791632557119,0.01510435901582241,0.01510435901582241,stage3_l_opt,l_opt_current_alpha,0.5577737730539691,0.18167813411465344,133615,640580,ok,eval,,"[0.40121533546312105, 0.026388068275600276, 0.01844365177151198, 0.11015424369478104, 0.44379870079498573]",0,10.0
2,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.4510925661671696e-05, 0.3971784653041459, 0.19838676996741975, 0.3331301173641743, 0.07129013643859818]","[0.2, 0.2, 0.2, 0.2, 0.2]",[],1,0,False,uninformative_contribution,0.5,0,0,0.010939778881647204,0.009688896437486013,0.009688896437486013,stage3_l_opt,l_opt_current_alpha,,0.2,2315,8640,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],5,
2,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.4510925661671696e-05, 0.3971784653041459, 0.19838676996741975, 0.3331301173641743, 0.07129013643859818]","[0.2, 0.2, 0.2, 0.2, 0.2]",[],1,0,False,uninformative_contribution,0.5,0,0,0.010939778881647204,0.009688896437486013,0.009688896437486013,stage3_l_opt,l_opt_current_alpha,,0.2,2315,8640,rejected_uninformative_contribution,none,no_positive_eval_or_opt_contribution,[],5,
3,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.5604042502995442e-05, 0.36581384804451855, 0.08498693960807281, 0.08716586740163554, 0.4620177409032702]","[0.021489985094532302, 0.007334906553317578, 0.9172923058303397, 0.009763809933835719, 0.04411899258797472]",[],7,6,False,uninformative_contribution,0.5,6,0,0.02303004200828424,0.022895218183596928,0.022895218183596928,stage3_l_opt,l_opt_current_alpha,,0.021489985094532302,13230,51050,ok,opt_fallback,no_positive_eval_contribution,"[0.0, 0.0, 0.0, 0.5039907067115915, 0.4960092932884084]",5,10.0
3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.5604042502995442e-05, 0.36581384804451855, 0.08498693960807281, 0.08716586740163554, 0.4620177409032702]","[0.1444769480617607, 0.1418125, 0.4003276908626697, 0.17157036107556944, 0.1418125]","[0.03683642633062097, 0.004, 0.6061308205452571, 0.08099455251658469, 0.27203820060753725]",200,5,False,max_rounds,0.05,2,197,0.012961034539050072,0.010429639369249344,0.010429639369249344,stage3_l_opt,l_opt_current_alpha,0.6720576605802492,0.1444769480617607,343035,1962605,ok,eval,,"[0.03350655748022547, 0.0, 0.6144192046380175, 0.07856586991488233, 0.2735083679668747]",0,10.0
4,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[4.3845710194547666e-05, 0.20936326927390417, 0.30968159678506796, 0.14790500406918805, 0.3330062841616452]","[0.3428104139416283, 0.30731231045926727, 0.33364975809523195, 0.012227503605778683, 0.004000013898093687]","[0.3430499880600685, 0.30740208018629556, 0.33324039393070704, 0.01230753782292894, 0.004]",48,47,True,fixed_point_tolerance,0.5,47,0,0.009289049912462738,0.015991279234488804,0.015991279234488804,stage3_l_opt,l_opt_current_alpha,0.0008187561252373165,0.3428104139416283,105905,406200,ok,eval,,"[0.3459693755714984, 0.309593959373771, 0.3359595856435786, 0.00847707941115198, 0.0]",0,10.0
4,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[4.3845710194547666e-05, 0.20936326927390417, 0.30968159678506796, 0.14790500406918805, 0.3330062841616452]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.3567791034505506, 0.3973841349564777, 0.10646509254522492, 0.06976170097728843, 0.0696099680704584]",200,0,False,max_rounds,0.05,0,199,0.018710285831912477,0.011898176123698553,0.011898176123698553,stage3_l_opt,l_opt_current_alpha,0.7083264768140565,0.2,276935,1537370,ok,eval,,"[0.35997867699035774, 0.4014123826086507, 0.10455621688288257, 0.06710377650743717, 0.06694894701067183]",0,10.0
