seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,coalition_round,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,final_raw_contribution_weights,rounds_executed,final_accepted_round,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,final_raw_consistency_l1,final_solver_audit_status,solver_recovery_attempts,solver_recovery_successes,selected_poison_weight,stage3_requests,contribution_requests,payment_status,payment_contribution_source,payment_fallback_reason,payment_contribution_weights,payment_requests,paid_total,initial_coalition_ids,final_coalition_ids,coalition_rounds_executed,pruning_log
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.21885662006761547, 0.19461181823453363, 0.1938259590803027, 0.1928854951663302, 0.199820107451218]","[0.5091969297793153, 0.09906571272861965, 0.09361933502743337, 0.06450851319277785, 0.23360950927185392]","[0.5155070712033829, 0.097005829314918, 0.09144830104840139, 0.06174338080895698, 0.2342954176243407]",20,5,False,max_rounds,0.05,1,18,0.005407011563833985,0.015430785715579987,0.015430785715579987,stage3_l_opt,l_opt_current_alpha,0.6482594230646714,0.6622515226177802,not_needed,0,0,0.21885662006761547,53255,58985,ok,eval,,"[0.5155070712033829, 0.097005829314918, 0.09144830104840139, 0.06174338080895698, 0.2342954176243407]",0,10.0,"[15, 1, 2, 3, 4]","[15, 1, 2, 3, 4]",1,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,"[15, 1, 2, 3, 4]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[0.18167813411465344, 0.1359503016969348, 0.14330316615341054, 0.16351966314369473, 0.3755487348913065]","[0.39719102875385853, 0.02986030691008826, 0.022074778736081737, 0.1119511588208854, 0.4389227267790859]","[0.40121533546312105, 0.026388068275600276, 0.01844365177151198, 0.11015424369478104, 0.44379870079498573]",20,5,False,max_rounds,0.05,3,16,0.006232791632557119,0.01510435901582241,0.01510435901582241,stage3_l_opt,l_opt_current_alpha,0.5577737730539691,0.5755743345042936,not_needed,0,0,0.18167813411465344,13015,68180,ok,eval,,"[0.40121533546312105, 0.026388068275600276, 0.01844365177151198, 0.11015424369478104, 0.44379870079498573]",0,10.0,"[15, 1, 2, 3, 4]","[15, 1, 2, 3, 4]",1,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
2,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,"[15, 1, 2, 4]","[2.1759755597773853e-05, 0.5955861490314793, 0.297489473033764, 0.10690261817915893]","[0.1607272121684881, 0.40068985658339373, 0.3398387576132191, 0.09874417363489901]","[0.1361711665820592, 0.7083567672797216, 0.12357354971893235, 0.031898516419286774]","[0.13384812916536654, 0.7177109870201243, 0.12099341808054324, 0.027447465733966107]",20,15,False,max_rounds,0.05,12,7,0.01475884169497814,0.011197242885828018,0.011197242885828018,stage3_l_opt,l_opt_current_alpha,0.6153338213926557,0.6340422608734608,not_needed,0,0,0.1607272121684881,57977,274136,ok,eval,,"[0.1338481291653665, 0.7177109870201241, 0.12099341808054323, 0.027447465733966104]",0,10.0,"[15, 1, 2, 3, 4]","[15, 1, 2, 4]",2,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": 3, ""pruning_candidate_contribution"": -1.4831622441610279e-05, ""removed_agent_id"": 3, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""removed_negative_contributor""}, {""coalition_ids"": [15, 1, 2, 4], ""coalition_round"": 1, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,1,"[15, 2, 3, 4]","[2.4604830072181726e-05, 0.13400945344836024, 0.13744523927692825, 0.7285207024446393]","[0.2325967365634635, 0.32594444123866473, 0.219375, 0.2220838221978718]","[0.07893349116766497, 0.7619867406798415, 0.07373543380745448, 0.08534433434503905]","[0.07544233792618875, 0.7724354496733077, 0.07013819776270865, 0.08198401463779494]",20,3,False,max_rounds,0.05,1,18,0.012587072002981085,0.010838586837053299,0.010838586837053299,stage3_l_opt,l_opt_current_alpha,0.8720845988823535,0.8929820168692859,not_needed,0,0,0.2325967365634635,57039,261577,ok,eval,,"[0.07544233792618875, 0.7724354496733077, 0.07013819776270865, 0.08198401463779494]",0,10.0,"[15, 1, 2, 3, 4]","[15, 2, 3, 4]",2,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": 1, ""pruning_candidate_contribution"": -8.329997460047346e-05, ""removed_agent_id"": 1, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""removed_negative_contributor""}, {""coalition_ids"": [15, 2, 3, 4], ""coalition_round"": 1, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
4,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,"[15, 1, 2, 3, 4]","[4.3845710194547666e-05, 0.20936326927390417, 0.30968159678506796, 0.14790500406918805, 0.3330062841616452]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.3567791034505506, 0.3973841349564777, 0.10646509254522492, 0.06976170097728843, 0.0696099680704584]","[0.35997867699035774, 0.4014123826086507, 0.10455621688288257, 0.06710377650743717, 0.06694894701067183]",20,0,False,max_rounds,0.05,0,19,0.018710285831912477,0.011898176123698553,0.011898176123698553,stage3_l_opt,l_opt_current_alpha,0.7083264768140565,0.7227821191980169,not_needed,0,0,0.2,33935,156770,ok,eval,,"[0.35997867699035774, 0.4014123826086507, 0.10455621688288257, 0.06710377650743717, 0.06694894701067183]",0,10.0,"[15, 1, 2, 3, 4]","[15, 1, 2, 3, 4]",1,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
5,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,"[15, 1, 2, 3, 4]","[2.8130033684264264e-05, 0.1536914849375397, 0.2450844056789864, 0.3698635338598678, 0.23133244548992188]","[0.10200000000000001, 0.10200000000000001, 0.10200000000000001, 0.592, 0.10200000000000001]","[0.013075601052266668, 0.31079014303250563, 0.31016296895659257, 0.21285346055722046, 0.15311782640141475]","[0.009260817400272108, 0.3130511663596996, 0.3124111928128495, 0.21311577607879634, 0.15216104734838237]",20,1,False,max_rounds,0.05,1,18,0.002342667785967016,0.008316502595941225,0.008316502595941225,stage3_l_opt,l_opt_current_alpha,0.9361418767810258,0.9432468130418629,not_needed,1,1,0.10200000000000001,52655,137200,ok,eval,,"[0.00926081740027211, 0.31305116635969965, 0.31241119281284957, 0.2131157760787964, 0.1521610473483824]",0,10.0,"[15, 1, 2, 3, 4]","[15, 1, 2, 3, 4]",1,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,"[15, 1, 2, 3, 4]","[1.7531970869868338e-05, 0.06596544496746644, 0.2104490459798888, 0.4360783805935065, 0.2874895964882684]","[0.15100000000000002, 0.15100000000000002, 0.15100000000000002, 0.396, 0.15100000000000002]","[0.008915295660696805, 0.06541545082565038, 0.033387148803640944, 0.6415389740865108, 0.25074313062350106]","[0.005015607817037556, 0.06266882737311263, 0.029986886534327493, 0.6505499735576641, 0.25177870471785824]",20,2,False,max_rounds,0.05,1,18,0.004312960330781129,0.002085598806540171,0.002085598806540171,stage3_l_opt,l_opt_current_alpha,0.6905642094200238,0.7106573565510447,not_needed,0,0,0.15100000000000002,53840,197560,ok,eval,,"[0.005015607817037556, 0.06266882737311263, 0.029986886534327493, 0.6505499735576641, 0.25177870471785824]",0,10.0,"[15, 1, 2, 3, 4]","[15, 1, 2, 3, 4]",1,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,"[15, 1, 2, 3, 4]","[5.1997864188056995e-05, 0.1921260360658335, 0.177482230602197, 0.34317242462192676, 0.2871673108458547]","[0.20380061119968904, 0.20252639588712446, 0.198302688780124, 0.19766546887176664, 0.19770483526129587]","[0.27526845987755766, 0.25407891902396496, 0.16654955552551506, 0.15111887279441177, 0.15298419277855052]","[0.276804550895467, 0.25518257043261733, 0.16586689339338273, 0.15012129876980793, 0.15202468650872503]",20,5,False,max_rounds,0.05,1,18,0.010856210861585974,0.009151869143048922,0.009151869143048922,stage3_l_opt,l_opt_current_alpha,0.24604074362941827,0.25132022848254165,not_needed,0,0,0.20380061119968904,31770,135530,ok,eval,,"[0.276804550895467, 0.25518257043261733, 0.16586689339338273, 0.15012129876980793, 0.15202468650872503]",0,10.0,"[15, 1, 2, 3, 4]","[15, 1, 2, 3, 4]",1,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,"[15, 1, 2, 3, 4]","[1.1650676905008064e-05, 0.5648165438065023, 0.1102554407322739, 0.2866941924525916, 0.03822217233172724]","[0.19751428545746516, 0.19129632333607477, 0.20399905029064258, 0.20589549708275864, 0.20129484383305887]","[0.16802972114776865, 0.041232361805996195, 0.009972412371168096, 0.4732476553218715, 0.3075178493531956]","[0.16737726647731496, 0.03799220592448591, 0.00609429833792663, 0.47882413808354235, 0.3097120911767302]",20,5,False,max_rounds,0.05,1,18,0.01764262006953686,0.0031754945715268454,0.0031754945715268454,stage3_l_opt,l_opt_current_alpha,0.7471503275184992,0.7626917766889101,not_needed,0,0,0.19751428545746516,40590,167415,ok,eval,,"[0.16737726647731493, 0.037992205924485906, 0.006094298337926629, 0.4788241380835423, 0.30971209117673015]",0,10.0,"[15, 1, 2, 3, 4]","[15, 1, 2, 3, 4]",1,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
9,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,0,"[15, 1, 2, 3, 4]","[1.451158569860071e-05, 0.3173020912440414, 0.1752726811067304, 0.2508615017387487, 0.25654921432478084]","[0.14119660494047717, 0.16551085278230881, 0.2664766277019871, 0.22960967730283352, 0.1972062372723935]","[0.24347136054952506, 0.2389967173153954, 0.1940880557822934, 0.2408930366835262, 0.08255082966925997]","[0.24435853117298476, 0.23979256868917898, 0.19396740385948308, 0.24172758845257777, 0.08015390782577549]",20,1,False,max_rounds,0.05,1,18,0.0012461702746249907,0.0063599102819959326,0.0063599102819959326,stage3_l_opt,l_opt_current_alpha,0.3740879590456544,0.37912310657824405,recovered_informative,16,16,0.14119660494047717,49400,327415,ok,eval,,"[0.24435853117298473, 0.23979256868917895, 0.19396740385948305, 0.24172758845257775, 0.08015390782577547]",0,10.000000000000002,"[15, 1, 2, 3, 4]","[15, 1, 2, 3, 4]",1,"[{""coalition_ids"": [15, 1, 2, 3, 4], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""removed_agent_id"": null, ""solver_audit_status"": ""recovered_informative"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
