seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,coalition_round,coalition_ids,stage3a_stop_reason,solver_audit_status,pruning_state_source,pruning_candidate_agent_id,pruning_candidate_contribution,removed_agent_id,status
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[9, 19, 16]",max_rounds,not_needed,accepted_snapshot,,,,stable
1,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[12, 3, 16]",fixed_point_tolerance,not_needed,terminal_accepted,,,,stable
2,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[8, 10, 20]",max_rounds,not_needed,accepted_snapshot,,,,stable
3,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[4, 1, 16]",max_rounds,not_needed,accepted_snapshot,,,,stable
4,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[10, 8, 20]",max_rounds,recovered_informative,accepted_snapshot,,,,stable
5,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[20, 18, 3]",max_rounds,recovered_informative,accepted_snapshot,3,-8.11840097109471e-05,3,removed_negative_contributor
5,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,1,"[20, 18]",max_rounds,not_needed,accepted_snapshot,,,,stable
6,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[18, 19, 3]",max_rounds,not_needed,accepted_snapshot,,,,stable
7,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[15, 13, 9]",max_rounds,not_needed,accepted_snapshot,15,-0.0009890316675106679,15,removed_negative_contributor
7,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,1,"[13, 9]",fixed_point_tolerance,recovered_informative,terminal_accepted,,,,stable
8,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[1, 18, 9]",audited_uninformative,audited_uninformative,terminal_audited_uninformative,1,-0.001530544211467107,1,removed_negative_contributor
8,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,1,"[18, 9]",max_rounds,not_needed,accepted_snapshot,,,,stable
9,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[16, 8, 1]",audited_uninformative,audited_uninformative,terminal_audited_uninformative,16,-0.002537064254283906,16,removed_negative_contributor
9,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,1,"[8, 1]",max_rounds,not_needed,accepted_snapshot,,,,stable
10,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[18, 8, 14]",max_rounds,recovered_informative,accepted_snapshot,,,,stable
