seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,coalition_round,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,final_raw_contribution_weights,rounds_executed,final_accepted_round,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,final_raw_consistency_l1,final_solver_audit_status,solver_recovery_attempts,solver_recovery_successes,selected_poison_weight,stage3_requests,contribution_requests,payment_status,payment_contribution_source,payment_fallback_reason,payment_contribution_weights,payment_requests,paid_total,initial_coalition_ids,final_coalition_ids,coalition_rounds_executed,pruning_log
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[9, 19, 16]","[0.37783050244682936, 0.3661713185043505, 0.25599817904882005]","[0.3434672953765706, 0.3067509531919865, 0.3497817514314429]","[0.41670328808483553, 0.11560216614561065, 0.46769454576955377]","[0.4184047157328254, 0.11115867293769795, 0.4704366113294767]",20,5,False,max_rounds,0.05,2,17,0.025226067150815094,0.0018774229877938826,0.0018774229877938826,stage3_l_opt,l_opt_current_alpha,0.3822975740927516,0.3911845605085771,not_needed,0,0,0.0,15189,32754,ok,eval,,"[0.4184047157328254, 0.11115867293769795, 0.4704366113294767]",0,10.0,"[9, 19, 16]","[9, 19, 16]",1,"[{""coalition_ids"": [9, 19, 16], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""pruning_state_source"": ""accepted_snapshot"", ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
0,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,,0,"[9, 19, 16]","[0.37783050244682936, 0.3661713185043505, 0.25599817904882005]","[0.43047081911467966, 0.323304866592807, 0.2462243142925132]","[0.7043925741602101, 0.20712223413021247, 0.08848519170957755]","[0.7119652117281055, 0.20454649741178144, 0.08348829086011315]",20,5,False,max_rounds,0.05,2,17,0.022996288145232975,0.0017986959622551997,0.0017986959622551997,stage3_l_opt,l_opt_current_alpha,0.5478435100910606,0.5629887852268514,not_needed,2,2,0.0,8229,42123,ok,eval,,"[0.7119652117281053, 0.20454649741178138, 0.08348829086011314]",0,10.0,"[9, 19, 16]","[9, 19, 16]",1,"[{""coalition_ids"": [9, 19, 16], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""pruning_state_source"": ""accepted_snapshot"", ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
1,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.40741466747019306, 0.29890097394945797, 0.293684358580349]","[0.4077384868887406, 0.29875056536180167, 0.2935109477494577]","[0.4092569594102795, 0.29804479458687244, 0.292698246002848]",6,5,True,fixed_point_tolerance,0.5,5,0,0.014579331208975737,0.0018643053869406383,0.0018643053869406383,stage3_l_opt,l_opt_current_alpha,0.0006476388370951769,0.003684583880173009,not_needed,0,0,0.0,1338,6705,ok,eval,,"[0.4092569594102795, 0.29804479458687244, 0.292698246002848]",0,10.0,"[12, 3, 16]","[12, 3, 16]",1,"[{""coalition_ids"": [12, 3, 16], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""pruning_state_source"": ""terminal_accepted"", ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""fixed_point_tolerance"", ""status"": ""stable""}]"
1,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,,0,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.21009361431015536, 0.40034820216782036, 0.38955818352202426]","[0.2777241996446711, 0.34096241582785336, 0.3813133845274756]","[0.2765893193653106, 0.34111811138896597, 0.38229256924572336]",20,5,False,max_rounds,0.05,5,14,0.014805782860092842,0.00018091127276420593,0.00018091127276420593,stage3_l_opt,l_opt_current_alpha,0.1352611706690314,0.13299141011031054,not_needed,0,0,0.0,4305,23844,ok,eval,,"[0.2765893193653106, 0.34111811138896597, 0.38229256924572336]",0,10.0,"[12, 3, 16]","[12, 3, 16]",1,"[{""coalition_ids"": [12, 3, 16], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""pruning_state_source"": ""accepted_snapshot"", ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
2,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[8, 10, 20]","[0.37078571947339173, 0.3098345361847824, 0.319379744341826]","[0.5533854706917235, 0.0182508134681591, 0.42836371584011745]","[0.5023951830990946, 0.014344811105022143, 0.48326000579588335]","[0.5058454249310489, 0.007834841263628036, 0.4863197338053232]",20,17,False,max_rounds,0.05,13,6,0.00018353695198486397,0.008319164936741194,0.008319164936741194,stage3_l_opt,l_opt_current_alpha,0.10979257991153177,0.11591203593041138,not_needed,0,0,0.0,14538,29982,ok,eval,,"[0.5058454249310488, 0.007834841263628035, 0.4863197338053231]",0,10.000000000000002,"[8, 10, 20]","[8, 10, 20]",1,"[{""coalition_ids"": [8, 10, 20], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""pruning_state_source"": ""accepted_snapshot"", ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
2,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,,0,"[8, 10, 20]","[0.37078571947339173, 0.3098345361847824, 0.319379744341826]","[0.56215779686322, 0.017613606421524076, 0.420228596715256]","[0.5015907732017495, 0.015922654686220103, 0.48248657211203033]","[0.5050245985051866, 0.0094448857342382, 0.4855305157605752]",20,19,False,max_rounds,0.05,15,4,0.00018348247796887152,0.00831918977200985,0.00831918977200985,stage3_l_opt,l_opt_current_alpha,0.12451595079354882,0.13060383809063852,not_needed,0,0,0.0,16638,31344,ok,eval,,"[0.5050245985051866, 0.0094448857342382, 0.4855305157605752]",0,10.0,"[8, 10, 20]","[8, 10, 20]",1,"[{""coalition_ids"": [8, 10, 20], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""pruning_state_source"": ""terminal_accepted"", ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
3,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[4, 1, 16]","[0.4115740775572319, 0.32587384365854005, 0.262552078784228]","[0.389098570351441, 0.19422262924690434, 0.41667880040165467]","[0.3909468391398575, 0.02739979217452298, 0.5816533686856195]","[0.3921226249726437, 0.021156250518220725, 0.5867211245091355]",20,8,False,max_rounds,0.05,4,15,0.003794371765468456,0.014777936041355133,0.014777936041355133,stage3_l_opt,l_opt_current_alpha,0.33364567414476265,0.34613275745736716,not_needed,5,5,0.0,6312,31794,ok,eval,,"[0.3921226249726437, 0.021156250518220725, 0.5867211245091355]",0,10.0,"[4, 1, 16]","[4, 1, 16]",1,"[{""coalition_ids"": [4, 1, 16], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""pruning_state_source"": ""accepted_snapshot"", ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
3,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,,0,"[4, 1, 16]","[0.4115740775572319, 0.32587384365854005, 0.262552078784228]","[0.13077668909290022, 0.7803590820235269, 0.08886422888357288]","[0.21446639250578217, 0.5710697718752539, 0.21446383561896395]","[0.21204053657052604, 0.5759215359271298, 0.21203792750234418]",20,4,False,max_rounds,0.05,3,16,0.01483846081063811,0.020995989441871643,0.020995989441871643,stage3_l_opt,l_opt_current_alpha,0.418578620296546,0.4088750921927942,not_needed,0,0,0.0,3012,26682,ok,eval,,"[0.21204053657052604, 0.5759215359271298, 0.21203792750234418]",0,10.0,"[4, 1, 16]","[4, 1, 16]",1,"[{""coalition_ids"": [4, 1, 16], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""pruning_state_source"": ""accepted_snapshot"", ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
4,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,0,"[10, 8, 20]","[0.4262723871098569, 0.33062692807109606, 0.2431006848190471]","[0.04750065975383924, 0.9049989234472952, 0.047500416798865616]","[0.006702088116322292, 0.9593412484967749, 0.033956663386902786]","[3.614433638329061e-05, 0.9721169202348042, 0.02784693542881236]",20,3,False,max_rounds,0.05,3,16,0.002104821619511502,0.007445134222507477,0.007445134222507477,stage3_l_opt,l_opt_current_alpha,0.10868465009895956,0.13423599357501828,recovered_informative,20,20,0.0,21021,38820,ok,eval,,"[3.614433638329062e-05, 0.9721169202348044, 0.027846935428812367]",0,10.0,"[10, 8, 20]","[10, 8, 20]",1,"[{""coalition_ids"": [10, 8, 20], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""pruning_state_source"": ""accepted_snapshot"", ""removed_agent_id"": null, ""solver_audit_status"": ""recovered_informative"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
4,2,0.0,0.0,stage0,0,uniform,0.5,guarded,stage1,,,0,"[10, 8, 20]","[0.4262723871098569, 0.33062692807109606, 0.2431006848190471]","[0.11557649228532624, 0.8163892734620861, 0.06803423425258764]","[0.00666750026439792, 0.9866658330689355, 0.006666666666666667]","[8.506099298501991e-07, 0.9999991493900702, 0.0]",20,9,False,max_rounds,0.05,6,13,0.0052336753921341135,0.007703428467114766,0.007703428467114766,stage3_l_opt,l_opt_current_alpha,0.3405531192136987,0.36721975185596806,not_needed,6,6,0.0,8235,32790,ok,eval,,"[0.0, 1.0, 0.0]",0,10.0,"[10, 8, 20]","[10, 8, 20]",1,"[{""coalition_ids"": [10, 8, 20], ""coalition_round"": 0, ""pruning_candidate_agent_id"": null, ""pruning_candidate_contribution"": null, ""pruning_state_source"": ""accepted_snapshot"", ""removed_agent_id"": null, ""solver_audit_status"": ""not_needed"", ""stage3a_stop_reason"": ""max_rounds"", ""status"": ""stable""}]"
