seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,round,target_error,evaluation_loss,consistency_l1,update_l1,eta_used,update_accepted,gate_triggered,eval_loss_delta,informative,stage3_requests_cumulative,contribution_requests_cumulative
0,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,0,0.025550440028532184,0.0018870764567206304,0.8377785543617249,0.0,0.0,False,False,,True,342,777
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,0,0.025550440028532184,0.0018870764567206304,0.8377785543617249,0.2513335663085175,0.3,True,False,,True,342,777
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,1,0.025453291870388292,0.0048707639798521996,0.6256183269198298,0.18768549807594898,0.3,True,False,0.002983687523131569,True,540,1554
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,2,0.03140632209461039,0.006924898441260059,0.4671019318857839,0.14013057956573513,0.3,True,False,0.00205413446140786,True,747,2331
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,3,0.03140620854853583,0.006924829523389538,0.3269703411225307,0.0980911023367593,0.3,True,False,-6.891787052154541e-08,True,951,3108
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,4,0.03140632298432694,0.006924903408313791,0.2288803228624771,0.06866409685874314,0.3,True,False,7.38849242534062e-08,True,1152,3885
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,5,0.03140632897711196,0.0069249052709589405,0.16021625333343228,0.04806487600002962,0.3,True,False,1.862645149230957e-09,True,1374,4662
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,6,0.03140632298432694,0.006924903408313791,0.11215135000370433,0.03364540500111128,0.3,True,False,-1.862645149230957e-09,True,1554,5439
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,7,0.03140633765611542,0.006924905736620228,0.07850597916471633,0.023551793749414976,0.3,True,False,2.3283064365386963e-09,True,1728,6216
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,8,0.03140632563640779,0.006924900303905209,0.05495410570368445,0.016486231711105276,0.3,True,False,-5.4327150191685325e-09,True,1950,6993
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,9,0.025590139534063153,0.0018973950451860826,0.029745152383083853,0.008923545714925207,0.3,True,False,-0.005027505258719126,True,2244,7770
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,10,0.0314063203151773,0.006924895957733194,0.047391355938221066,0.014217406781466393,0.3,True,False,0.0050275009125471115,True,2505,8547
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,11,0.03140632298432694,0.006924903408313791,0.033174058475531606,0.009952217542659514,0.3,True,False,7.450580596923828e-09,True,2727,9324
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,12,0.031406335205127714,0.006924905115738511,0.023221865985095513,0.006966559795528571,0.3,True,False,1.7074247198392567e-09,True,2970,10101
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,13,0.03140633765611542,0.006924905736620228,0.016255315299466805,0.00487659458984005,0.3,True,False,6.208817166994396e-10,True,3201,10878
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,14,0.03140633765611542,0.006924905736620228,0.011378720709626755,0.0034136162128879932,0.3,True,False,0.0,True,3420,11655
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,15,0.03140632387404349,0.006924903408313791,0.007965070334615479,0.002389521100384581,0.3,True,False,-2.3283064365386963e-09,True,3669,12432
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,16,0.031406335205127714,0.006924905115738511,0.005575574286454318,0.0016726722859362192,0.3,True,False,1.7074247198392567e-09,True,3909,13209
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,17,0.03140632387404349,0.006924903408313791,0.0039028769482946785,0.0011708630844884244,0.3,True,False,-1.7074247198392567e-09,True,4116,13986
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,18,0.03140633431541118,0.006924905115738511,0.002732038916029675,0.0008196116748089288,0.3,True,False,1.7074247198392567e-09,True,4326,14763
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,19,0.03140632387404349,0.006924903408313791,0.0019124021889973253,0.0005737206566992642,0.3,True,False,-1.7074247198392567e-09,True,4527,15540
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,0,0.025550440028532184,0.0018870764567206304,0.8377785543617249,0.41888927718086244,0.5,True,False,,True,342,777
