seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
0,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.7522226105141958, 0.1011973508534991, 0.1465800386323051]",1,False,no_update_baseline,0.0,0,0,0.025550440028532184,0.0018870764567206304,0.8377785543617249,0.0,342,777,ok,10.0
0,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.7854376668135536, 0.08279055424350767, 0.13177177894293862]","[0.7863938679080523, 0.08226065602788948, 0.13134547606405816]",20,False,max_rounds,0.3,20,0,0.03140632387404349,0.006924903408313791,0.0019124021889973253,0.0,4527,15540,ok,10.0
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.7861559569155518, 0.0823924992260695, 0.1314515438583786]","[0.7863938815729015, 0.08226064845523637, 0.13134546997186208]",11,True,fixed_point_tolerance,0.5,11,0,0.031406330084990455,0.0069249052709589405,0.000951698629398437,0.0,2499,8547,ok,9.999999999999998
0,2,0.0,0.0,uniform,0,uniform,1.0,fixed,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.7863938496882548, 0.08226066612475962, 0.13134548418698572]","[0.7863938496882547, 0.0822606661247596, 0.1313454841869857]",3,True,fixed_point_tolerance,1.0,3,0,0.03140632187644851,0.006924900924786925,3.64395953134089e-08,0.0,744,2331,ok,10.0
1,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.3656841176543638, 0.0355175577004468, 0.5987983246451893]",1,False,no_update_baseline,0.0,0,0,0.014061642639210413,0.0020194388926029205,0.595631551265773,0.0,111,57,ok,10.0
1,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.3636160233527238, 0.05455607937624064, 0.5818278972710356]","[0.36364456708223375, 0.0542933106946814, 0.5820621222230848]",15,True,fixed_point_tolerance,0.3,15,0,0.014780836454324438,0.00019460543990135193,0.0007507676615977482,0.0,3699,855,ok,10.0
1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.3636170410516935, 0.05454671061395645, 0.58183624833435]","[0.3636417689316379, 0.0543190699894723, 0.5820391610788899]",7,True,fixed_point_tolerance,0.5,7,0,0.014785181387582613,0.0001919331649939219,0.0009105624979367372,0.0,1680,399,ok,10.0
1,2,0.0,0.0,uniform,0,uniform,1.0,fixed,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.36365608498541846, 0.054187278852096725, 0.5821566361624849]","[0.36365608498541846, 0.054187278852096725, 0.5821566361624849]",3,True,fixed_point_tolerance,1.0,3,0,0.014759121591031175,0.00020560001333554587,0.00033425414239306867,0.0,672,171,ok,10.0
2,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[8, 10, 20]","[0.3707857194733917, 0.30983453618478235, 0.3193797443418259]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.6828728297874208, 0.030335185324890625, 0.28679198488768853]",1,False,no_update_baseline,0.0,0,0,0.00018353634036660793,0.00831918977200985,0.6990789929081749,0.0,240,795,ok,10.0
2,2,0.0,0.0,uniform,0,uniform,0.3,fixed,stage1,,,"[8, 10, 20]","[0.3707857194733917, 0.30983453618478235, 0.3193797443418259]","[0.6826123579816862, 0.03056097518711406, 0.28682666683119973]","[0.6828729265861778, 0.03033510141493376, 0.2867919719988885]",20,True,fixed_point_tolerance,0.3,20,0,0.00018356123683815895,0.008319214607278505,0.0007444817271188148,0.0,4830,15900,ok,10.0
