seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
0,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.23520731095522956, 0.0964591635747378, 0.28845635310294315, 0.18676799215673873, 0.1931091802103508]",1,False,no_update_baseline,0.0,0,0,0.01492426654765655,0.019580726325511933,0.2473273281163454,0.2,740,230,ok,10.0
0,2,0.3,0.0,uniform,0,uniform,0.0,adaptive,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.23520731095522956, 0.0964591635747378, 0.28845635310294315, 0.18676799215673873, 0.1931091802103508]",1,False,no_update_baseline,0.0,0,0,0.01492426654765655,0.019580726325511933,0.2473273281163454,0.2,740,230,ok,10.0
0,2,0.3,0.0,uniform,0,uniform,0.0,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.23520731095522956, 0.0964591635747378, 0.28845635310294315, 0.18676799215673873, 0.1931091802103508]",1,False,no_update_baseline,0.0,0,0,0.01492426654765655,0.019580726325511933,0.2473273281163454,0.2,740,230,ok,10.0
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.23627487483148668, 0.09331957541290337, 0.29113854622238455, 0.18636676828588472, 0.19290023524734068]","[0.23631359692580126, 0.09320569798447477, 0.2912358332674511, 0.1863522153126023, 0.19289265650967058]",10,True,fixed_point_tolerance,0.5,10,0,0.012976799181872778,0.02066383361816406,0.0005440365575245382,0.23627487483148668,6545,2300,ok,9.999999999999998
0,2,0.3,0.0,uniform,0,uniform,0.5,adaptive,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.23528708652280733, 0.09622455238833368, 0.2886567846492099, 0.18673801000509888, 0.19309356643455028]","[0.23517163524389867, 0.0965640819252464, 0.28836671992071294, 0.1867814002040827, 0.19311616270605925]",12,True,fixed_point_tolerance,0.0625,12,0,0.014755894539472791,0.0195446640253067,0.0008651008157985335,0.23528708652280733,8735,2760,ok,10.0
0,2,0.3,0.0,uniform,0,uniform,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.23056959571119004, 0.11009817497440613, 0.27680435906854134, 0.18851099049483896, 0.1940168797510236]","[0.2351946567504425, 0.09649637820182513, 0.28842456013788814, 0.1867727480023983, 0.19311165690744592]",20,False,max_rounds,0.05,13,7,0.014872286547078062,0.01956794336438179,0.03249052421719861,0.23056959571119004,10920,4600,ok,9.999999999999998
0,2,0.3,0.0,uniform,0,uniform,1.0,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.23548655180446795, 0.09563794689246936, 0.28915792974969157, 0.1866630447180667, 0.19305452683530444]","[0.23548655180446795, 0.09563794689246936, 0.28915792974969157, 0.1866630447180667, 0.19305452683530444]",3,True,fixed_point_tolerance,1.0,3,0,0.01625787585390448,0.019860488176345826,0.0004886076149255014,0.23548655180446795,2315,690,ok,9.999999999999998
0,2,0.3,0.0,uniform,0,uniform,1.0,adaptive,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.23548655180446795, 0.09563794689246936, 0.28915792974969157, 0.1866630447180667, 0.19305452683530444]","[0.23548655180446795, 0.09563794689246936, 0.28915792974969157, 0.1866630447180667, 0.19305452683530444]",3,True,fixed_point_tolerance,1.0,3,0,0.01625787585390448,0.019860488176345826,0.0004886076149255014,0.23548655180446795,2315,690,ok,9.999999999999998
0,2,0.3,0.0,uniform,0,uniform,1.0,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.23056959571119004, 0.11009817497440613, 0.27680435906854134, 0.18851099049483896, 0.1940168797510236]","[0.2351946567504425, 0.09649637820182513, 0.28842456013788814, 0.1867727480023983, 0.19311165690744592]",20,False,max_rounds,0.05,13,7,0.014872286547078062,0.01956794336438179,0.03249052421719861,0.23056959571119004,11385,4600,ok,9.999999999999998
1,2,0.3,0.0,uniform,0,uniform,0.0,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.027888791331173078, 0.23712486077306189, 0.24565575995267988, 0.19603480889813918, 0.2932957790449459]",1,False,no_update_baseline,0.0,0,0,0.002834797962805169,0.024697991833090783,0.3521527995413754,0.2,670,230,ok,10.0
