agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count
2,0.34384585859662636,0.25225107804062014,0.2553061275660779,0.2907220199782973,1.3800000000000001,2.868496742288882,0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
3,0.16836736729889973,0.3960060800324417,0.403711367693994,0.3095737675359563,1.1400000000000001,2.725017689784096,0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
4,0.1048294417168774,0.27522347441584366,0.2790216432221709,0.2093447626200535,1.3,2.3718451846146738,0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
5,0.3829573323875965,0.0649642337086504,0.061960861517757294,0.19035944986569298,1.06,2.034640383312348,0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
15,1.8630537010597373e-05,0.11152445978754441,0.11182397640793625,0.06710183805956597,1.06,1.2505692200891674,0,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
2,0.2386991502476766,0.1957954845878635,0.19640260976462975,0.2133212259578485,1.3800000000000001,1.9858322817202896,0,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
3,0.11688128997020332,0.21849420080781323,0.21918418150157976,0.17826302488902918,1.1400000000000001,1.6462669906848428,0,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
4,0.07277301160724954,0.21422639067842614,0.214900792886991,0.1580496803750944,1.3,1.748861092265268,0,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
5,0.26585048950458173,0.03505996375797449,0.03508036744134808,0.12738841626664155,1.06,1.4217831021972618,0,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
6,0.3057774281332782,0.22190563877323538,0.2226080719975151,0.25587581445182034,1.22,1.9466873130431694,0,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
15,2.4204120846882317e-05,0.10529673695373691,0.10460609809342308,0.06277334050439261,1.06,1.238276287032475,0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
1,0.09809110630908209,0.12656727677094073,0.1262842340765749,0.11500698296957779,1.22,1.5466198316336008,0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
2,0.3101093154403729,0.18233481024079104,0.18312041145589028,0.23391597304968334,1.3800000000000001,2.044321363461101,0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
3,0.1518479507900983,0.21359461876955196,0.2149792352524389,0.18972672146750263,1.1400000000000001,1.6788238889677076,0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
4,0.09454406850062982,0.2667519347923511,0.2691551769607722,0.19931073357671525,1.3,1.8660424833578713,0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
5,0.34538335483897,0.10259721258667702,0.1018548441609007,0.19926624843212842,1.06,1.6259161455472446,0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
15,1.6546923414830437e-05,0.061356605541249734,0.06132137145148434,0.03679944164025654,1.06,1.1196150954572157,1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
1,0.03206712623816284,0.017396470076659717,0.017342231261157914,0.023232189251959884,1.22,1.257636146588175,1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
2,0.166698232632551,0.006298980778103568,0.0062399443263285205,0.07042325964881752,1.3800000000000001,1.4940856806310845,1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
3,0.5120194224037995,0.35675524817781235,0.35684772002268256,0.41891640097512933,1.1400000000000001,1.8186445695797093,1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
4,0.17344922777921473,0.35245180804734033,0.35254241944072334,0.2809051427761199,1.3,1.755066331297314,1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
5,0.06610458947765294,0.008109862888836781,0.008051609312671458,0.03127280137866405,1.06,1.1106619382334357,1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
6,0.04964485454520423,0.1976310244899976,0.19765470418495187,0.13845076432905282,1.22,1.4442902382130653,1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
1,0.03206765685922498,0.04456673018460544,0.04463910753169949,0.03961052726270969,1.22,1.326156213064062,1,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
2,0.16670099102108263,0.1857026082368518,0.18625684875498352,0.17843450566142316,1.3800000000000001,1.8582044751726143,1,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
3,0.5120278948901625,0.21167747157874522,0.21232039493351584,0.33220339491617457,1.1400000000000001,2.030305098375348,1,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
4,0.17345209787779448,0.2129316320416416,0.21357883732490537,0.19752814154606102,1.3,1.8293754193434437,1,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
5,0.06610568332333217,0.20912168045364554,0.20975587787966546,0.1522958000571321,1.06,1.4681527441531141,1,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
6,0.04964567602840335,0.13307437527236762,0.13344893357523024,0.09992763055649949,1.22,1.4878060498914187,1,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
15,1.6546923414830437e-05,0.1116965520803531,0.11167700185582748,0.06701281988286241,1.06,1.168560768210237,1,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
1,0.03206712623816284,0.022382941294482022,0.02230674080702405,0.026210894979479565,1.22,1.262461649866757,1,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
2,0.166698232632551,0.0032915344357300207,0.003201723314645009,0.06860032704180741,1.3800000000000001,1.491132529807728,1,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
3,0.5120194224037995,0.3158317180343639,0.3159416476362978,0.3943727575432985,1.1400000000000001,1.7788838672201432,1,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
4,0.17344922777921473,0.31267965965658345,0.3127875899558992,0.2570522450852254,1.3,1.716424637038065,1,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
5,0.06610458947765294,0.04265487449760089,0.04259153218859969,0.05199675510422099,1.06,1.144234743268838,1,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
6,0.04964485454520423,0.19146272000088674,0.19149376424170678,0.13475420036310576,1.22,1.4383018045882312,1,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
15,9.433697251066013e-06,0.6429190022724538,0.6430492499278949,0.38583332343563737,1.06,1.6850499839657322,2,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
1,0.25820967481206786,0.03923407353053947,0.039209834982706415,0.126809770914451,1.22,1.4254318288814105,2,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
2,0.12897321439891582,0.08540553224800565,0.08539310922349824,0.10282515129366528,1.3800000000000001,1.5465767450957377,2,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
3,0.21657120611723038,0.0753365557092866,0.075321555979809,0.13182141603477754,1.1400000000000001,1.3535506939763398,2,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
4,0.04634642750085231,0.14626587265268629,0.14626902411492096,0.10629998546929349,1.3,1.4722059764602555,2,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
5,0.106627217110952,0.006874947928000813,0.006835666394869142,0.04675228668130228,1.06,1.1357387044237097,2,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
6,0.24326282636273056,0.003964015659027372,0.00392155937630116,0.09965806617087292,1.22,1.381446067196814,2,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1
1,0.25821211070694683,0.29743507162904953,0.2983852816012719,0.2823160132435419,1.22,1.9766069154926924,2,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
2,0.12897443110465198,0.04364443833577761,0.04370013511711586,0.07780985351213031,1.3800000000000001,1.5885304074125095,2,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
3,0.21657324920369606,0.255691323989399,0.2564944035005162,0.24052594178178816,1.1400000000000001,1.7846095239751927,2,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
4,0.046346864723142644,0.20114779230567256,0.20175862709942027,0.13959392214890923,1.3,1.6741117113590769,2,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
5,0.10662822300932628,0.17090340939347776,0.1714076445104996,0.14549587591003027,1.06,1.4499289474388812,2,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
6,0.2432651212522362,0.028252462114480736,0.028253908171176144,0.11425839340360017,1.22,1.5262124943216486,2,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1
15,1.3137881742386045e-05,0.25548931250746554,0.2577258799551815,0.15464078312580584,1.06,1.8888745975543193,2,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
1,0.3595968878519574,0.35435703781029815,0.35747234240456305,0.35832216058352084,1.22,3.1406067807276714,2,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
3,0.3016088834579218,0.01714157479127626,0.017259705607770175,0.13099937674783083,1.1400000000000001,1.8421566593683734,2,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
6,0.3387810908083784,0.3643380560667845,0.3675420720324852,0.3560376795428425,1.22,3.1283619623496355,2,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1
