seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,round,target_error,evaluation_loss,consistency_l1,update_l1,eta_used,update_accepted,gate_triggered,eval_loss_delta,informative,stage3_requests_cumulative,contribution_requests_cumulative
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,0,0.014252845576811168,0.017142916364329203,0.9124168798734066,0.45620843993670335,0.5,True,False,,True,567,14777
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,1,0.024336936539832266,0.018546975616897856,0.47653116928658684,0.2382655846432933,0.5,True,False,0.0014040592525686527,True,1680,29554
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,2,0.03318783969466743,0.02309401599424226,0.2868127516798835,0.14340637583994184,0.5,True,False,0.0045470403773444044,True,2506,44331
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,3,0.033424002365944006,0.02334980932729585,0.14619742645675454,0.0730987132283773,0.5,True,False,0.00025579333305358887,True,3136,59108
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,4,0.03367381713633222,0.023594989840473448,0.0757967203617558,0.03789836018087772,0.5,True,False,0.00024518051317759873,True,3493,73885
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,5,0.034816678973178306,0.024443102202245166,0.047406912534788556,0.023703456267394306,0.5,True,False,0.0008481123617717183,True,5096,88662
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,6,0.03679120099400279,0.02548543842775481,0.030352879910601753,0.015176439955300876,0.5,True,False,0.0010423362255096436,True,6419,103439
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,7,0.03667823022704653,0.02542957610317639,0.014885150881405124,0.007442575440702563,0.5,True,False,-5.586232457841997e-05,True,7805,118216
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,8,0.03336003321873804,0.023286046194178716,0.014074442122213827,0.00703722106110676,0.5,True,False,-0.002143529908997674,True,8470,132993
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,9,0.03667504312527292,0.025427551673991338,0.01334208637761165,0.006671043188805655,0.5,True,False,0.002141505479812622,True,10248,147770
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,10,0.03339260998052751,0.023309952978576933,0.012883157865963972,0.006441578932981834,0.5,True,False,-0.002117598695414405,True,11025,162547
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,11,0.036686081894757194,0.02543374683175768,0.012863111336419895,0.006431555668209944,0.5,True,False,0.002123793853180747,True,12719,177324
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,12,0.03336298244604308,0.02329334935971669,0.012913894826464548,0.006456947413232149,0.5,True,False,-0.002140397472040992,True,13552,192101
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,13,0.03668754805724461,0.025433974074465886,0.012819239580489816,0.006409619790244846,0.5,True,False,0.002140624714749198,True,15120,206878
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,14,0.03336300620555477,0.02329359097140176,0.012828700701515403,0.006414350350757703,0.5,True,False,-0.002140383103064126,True,15953,221655
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,15,0.03574642976364384,0.025069065924201692,0.01091448312168714,0.005457241560843573,0.5,True,False,0.0017754749527999318,True,17654,236432
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,16,0.03337857263708344,0.023302087294203893,0.011769842046134422,0.005884921023067024,0.5,True,False,-0.0017669786299977994,True,18431,251209
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,17,0.03678258579014937,0.0254821101469653,0.013480639683523681,0.006740319841761785,0.5,True,False,0.002180022852761407,True,19999,265986
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,18,0.03336270456778134,0.023293440363236835,0.012717630593095731,0.006358815296547713,0.5,True,False,-0.002188669783728465,True,20832,280763
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,19,0.03675808833085625,0.025470285011189326,0.013036341041264747,0.006518170520632352,0.5,True,False,0.002176844647952491,True,22281,295540
