seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
0,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,"[15, 1, 2, 3, 4, 5, 6]","[1.7322622565811876e-05, 0.07020272384212736, 0.22194181972148852, 0.10867590504811354, 0.06766414797022588, 0.24718706100659726, 0.28431101978888174]","[0.005840297715861834, 0.002857426200631037, 0.25225107804062014, 0.3960060800324417, 0.27522347441584366, 0.0649642337086504, 0.0028574098859514515]","[0.0028571428571428576, 0.0028571428571428576, 0.2531177893297972, 0.40025098454233116, 0.27663002913740936, 0.06142976841903365, 0.0028571428571428576]",20,False,max_rounds,0.5,20,0,0.03675808833085625,0.025470285011189326,0.013036341041264747,0.005840297715861834,22281,295540,ok,10.0
0,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1,"[15, 1, 2, 3, 4, 5, 6]","[1.7322622565811876e-05, 0.07020272384212736, 0.22194181972148852, 0.10867590504811354, 0.06766414797022588, 0.24718706100659726, 0.28431101978888174]","[0.11152445978754441, 0.0029938616071428573, 0.1957954845878635, 0.21849420080781323, 0.21422639067842614, 0.03505996375797449, 0.22190563877323538]","[0.111504479332485, 0.002857142857142857, 0.19584145945101655, 0.21855794098300382, 0.2142867906215996, 0.03498013782008708, 0.22197204893466507]",10,True,fixed_point_tolerance,0.5,10,0,0.020381047922449325,0.01534000039100647,0.0009461005717872127,0.11152445978754441,8533,63980,ok,9.999999999999998
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1,"[15, 1, 2, 3, 4, 5, 6]","[1.7322622565811876e-05, 0.07020272384212736, 0.22194181972148852, 0.10867590504811354, 0.06766414797022588, 0.24718706100659726, 0.28431101978888174]","[0.10529673695373691, 0.12656727677094073, 0.18233481024079104, 0.21359461876955196, 0.2667519347923511, 0.10259721258667702, 0.0028574098859514515]","[0.10430722352744187, 0.12592342197921327, 0.182597210280302, 0.21436500886600335, 0.26838616216945566, 0.10156383032044097, 0.002857142857142857]",20,False,max_rounds,0.5,20,0,0.015509642920221722,0.014138717204332352,0.005334035026134056,0.10529673695373691,25375,280140,ok,10.0
1,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,"[15, 1, 2, 3, 4, 5, 6]","[1.6546923414830434e-05, 0.03206712623816283, 0.16669823263255099, 0.5120194224037994, 0.1734492277792147, 0.06610458947765292, 0.04964485454520422]","[0.061356605541249734, 0.017396470076659717, 0.006298980778103568, 0.35675524817781235, 0.35245180804734033, 0.008109862888836781, 0.1976310244899976]","[0.06132137145148434, 0.017342231261157914, 0.0062399443263285205, 0.35684772002268256, 0.35254241944072334, 0.008051609312671458, 0.19765470418495187]",11,True,fixed_point_tolerance,0.5,11,0,0.0024670421430953715,0.02441155830664294,0.000827051732830264,0.061356605541249734,7826,156002,ok,10.0
1,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1,"[15, 1, 2, 3, 4, 5, 6]","[1.6546923414830434e-05, 0.03206712623816283, 0.16669823263255099, 0.5120194224037994, 0.1734492277792147, 0.06610458947765292, 0.04964485454520422]","[0.0029255022321428574, 0.04456673018460544, 0.1857026082368518, 0.21167747157874522, 0.2129316320416416, 0.20912168045364554, 0.13307437527236762]","[0.0028571428571428576, 0.044511567224466066, 0.18572468632996933, 0.21171376523370583, 0.21296861207540568, 0.2091565753714379, 0.13306765090787248]",11,True,fixed_point_tolerance,0.5,11,0,0.01247984767999786,0.01579923927783966,0.0005209867985381525,0.0029255022321428574,13006,72534,ok,10.0
1,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1,"[15, 1, 2, 3, 4, 5, 6]","[1.6546923414830434e-05, 0.03206712623816283, 0.16669823263255099, 0.5120194224037994, 0.1734492277792147, 0.06610458947765292, 0.04964485454520422]","[0.1116965520803531, 0.022382941294482022, 0.0032915344357300207, 0.3158317180343639, 0.31267965965658345, 0.04265487449760089, 0.19146272000088674]","[0.11167700185582748, 0.02230674080702405, 0.003201723314645009, 0.3159416476362978, 0.3127875899558992, 0.04259153218859969, 0.19149376424170678]",11,True,fixed_point_tolerance,0.5,11,0,0.004224167944518459,0.018891288340091704,0.0009956165682791871,0.1116965520803531,7273,131824,ok,10.0
2,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,"[15, 1, 2, 3, 4, 5, 6]","[9.433697251066011e-06, 0.2582096748120678, 0.1289732143989158, 0.21657120611723035, 0.0463464275008523, 0.10662721711095198, 0.24326282636273053]","[0.6429190022724538, 0.03923407353053947, 0.08540553224800565, 0.0753365557092866, 0.14626587265268629, 0.006874947928000813, 0.003964015659027372]","[0.643049249927895, 0.03920983498270642, 0.08539310922349826, 0.07532155597980901, 0.146269024114921, 0.006835666394869144, 0.003921559376301161]",12,True,fixed_point_tolerance,0.5,12,0,0.013304413254497938,0.015850366758448736,0.0005335964707037172,0.6429190022724538,8589,227976,ok,10.0
2,2,0.3,0.0,uniform,0,median,0.5,fixed,controlled,7,1,"[15, 1, 2, 3, 4, 5, 6]","[9.433697251066011e-06, 0.2582096748120678, 0.1289732143989158, 0.21657120611723035, 0.0463464275008523, 0.10662721711095198, 0.24326282636273053]","[0.0029255022321428574, 0.29743507162904953, 0.04364443833577761, 0.255691323989399, 0.20114779230567256, 0.17090340939347776, 0.028252462114480736]","[0.0028571428571428576, 0.2975327522252683, 0.04357527758820982, 0.2557615623476576, 0.20118217387913623, 0.17091790838332677, 0.0281731827192585]",11,True,fixed_point_tolerance,0.5,11,0,0.029035656372601082,0.020785851404070854,0.0008671980711602465,0.0029255022321428574,5985,71302,ok,10.0
2,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,7,1,"[15, 1, 2, 3, 4, 5, 6]","[9.433697251066011e-06, 0.2582096748120678, 0.1289732143989158, 0.21657120611723035, 0.0463464275008523, 0.10662721711095198, 0.24326282636273053]","[0.25548931250746554, 0.35435703781029815, 0.0028913225446428573, 0.01714157479127626, 0.0028913225446428573, 0.002891373734889914, 0.3643380560667845]","[0.2555168009841371, 0.35440829375538113, 0.0028571428571428576, 0.01711176527398929, 0.0028571428571428576, 0.0028571428571428576, 0.36439171141506393]",12,True,fixed_point_tolerance,0.5,12,0,0.024848866086013298,0.01586171016097069,0.0005295990801361368,0.25548931250746554,9681,160860,ok,10.0
3,2,0.3,0.0,uniform,0,uniform,0.5,fixed,controlled,7,1,"[15, 1, 2, 3, 4, 5, 6]","[1.3082138446378827e-05, 0.3066915131000381, 0.0712514663987499, 0.07307823885560383, 0.3873470640713448, 0.012009089453813031, 0.14960954598200402]","[0.039634726219602484, 0.20458140001975927, 0.33107303764249185, 0.14063633390565958, 0.020462565850288446, 0.061253303869227685, 0.20235863249297076]","[0.03958222368114982, 0.2046127951400317, 0.33116877084246216, 0.14063520432440033, 0.02040031167919822, 0.06121179729697417, 0.20238889703578383]",11,True,fixed_point_tolerance,0.5,11,0,0.007859314445034293,0.02379749289580754,0.0006295714522228137,0.039634726219602484,9086,98329,ok,10.0
