seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,final_accepted_round,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
0,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.41671087547428515, 0.1146258316685711, 0.4686632928571438]",1,0,False,no_update_baseline,0.0,0,0,0.025548551012645616,0.0018865785095840693,0.0018865785095840693,stage3_l_opt,l_opt_current_alpha,0.43741500332952454,0.0,564,1362,ok,10.0
0,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.41671087547428515, 0.1146258316685711, 0.4686632928571438]",1,0,False,no_update_baseline,0.0,0,0,0.025548551012645616,0.0018865785095840693,0.0018865785095840693,stage3_l_opt,l_opt_current_alpha,0.43741500332952454,0.0,564,1362,ok,10.0
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.8738536393360556, 0.020248723906309513, 0.1058976367576348]","[0.9866666666666667, 0.006666666666666667, 0.006666666666666667]",6,5,False,max_rounds,0.5,5,0,0.031406332278785455,0.0069249052709589405,0.0069249052709589405,stage3_l_opt,l_opt_current_alpha,0.22562605466122204,0.0,4083,10092,ok,10.0
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.3434672953765706, 0.3067509531919865, 0.3497817514314429]","[0.41670328808483553, 0.11560216614561065, 0.46769454576955377]",6,5,False,max_rounds,0.0625,2,3,0.025226067150815094,0.0018774229877938826,0.0018774229877938826,stage3_l_opt,l_opt_current_alpha,0.3822975740927516,0.0,4860,8532,ok,10.0
0,5,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[16, 11, 15, 2, 12, 8]","[0.23788648448823288, 0.18404724273911657, 0.14557907160643377, 0.17103146099047056, 0.1434582025028741, 0.1179975376728721]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.6880142296817332, 0.003333333333333334, 0.29865243698493366, 0.003333333333333334, 0.003333333333333334, 0.003333333333333334]",1,0,False,no_update_baseline,0.0,0,0,0.001246360408210731,0.020780716091394424,0.020780716091394424,stage3_l_opt,l_opt_current_alpha,1.3066666666666669,0.0,4728,18720,ok,10.0
0,5,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,,"[16, 11, 15, 2, 12, 8]","[0.23788648448823288, 0.18404724273911657, 0.14557907160643377, 0.17103146099047056, 0.1434582025028741, 0.1179975376728721]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.6880142296817332, 0.003333333333333334, 0.29865243698493366, 0.003333333333333334, 0.003333333333333334, 0.003333333333333334]",1,0,False,no_update_baseline,0.0,0,0,0.001246360408210731,0.020780716091394424,0.020780716091394424,stage3_l_opt,l_opt_current_alpha,1.3066666666666669,0.0,4728,18720,ok,10.0
0,5,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[16, 11, 15, 2, 12, 8]","[0.23788648448823288, 0.18404724273911657, 0.14557907160643377, 0.17103146099047056, 0.1434582025028741, 0.1179975376728721]","[0.4273404481741999, 0.08499999999999999, 0.23265955182580017, 0.08499999999999999, 0.08499999999999999, 0.08499999999999999]",[],2,1,False,uninformative_contribution,0.5,1,0,0.010484608751616983,0.0287714550892512,0.0287714550892512,stage3_l_opt,l_opt_current_alpha,,0.0,7002,37248,rejected_uninformative_contribution,
0,5,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[16, 11, 15, 2, 12, 8]","[0.23788648448823288, 0.18404724273911657, 0.14557907160643377, 0.17103146099047056, 0.1434582025028741, 0.1179975376728721]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.6880142296817332, 0.003333333333333334, 0.29865243698493366, 0.003333333333333334, 0.003333333333333334, 0.003333333333333334]",2,0,False,uninformative_contribution,0.5,0,1,0.001246360408210731,0.020780716091394424,0.020780716091394424,stage3_l_opt,l_opt_current_alpha,1.3066666666666669,0.0,7002,37248,rejected_uninformative_contribution,
1,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.4232695552346036, 0.29152972632670443, 0.28520071843869194]",1,0,False,no_update_baseline,0.0,0,0,0.014061640698106457,0.0020194388926029205,0.0020194388926029205,stage3_l_opt,l_opt_current_alpha,0.17987244380254053,0.0,141,777,ok,10.0
1,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.4232695552346036, 0.29152972632670443, 0.28520071843869194]",1,0,False,no_update_baseline,0.0,0,0,0.014061640698106457,0.0020194388926029205,0.0020194388926029205,stage3_l_opt,l_opt_current_alpha,0.17987244380254053,0.0,141,777,ok,10.0
1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.40741466747019306, 0.29890097394945797, 0.293684358580349]","[0.4077384868887406, 0.29875056536180167, 0.2935109477494577]",6,5,True,fixed_point_tolerance,0.5,5,0,0.014579331208975737,0.0018643053869406383,0.0018643053869406383,stage3_l_opt,l_opt_current_alpha,0.0006476388370951769,0.0,1338,6705,ok,10.0
1,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.40741466747019306, 0.29890097394945797, 0.293684358580349]","[0.4077384868887406, 0.29875056536180167, 0.2935109477494577]",6,5,True,fixed_point_tolerance,0.5,5,0,0.014579331208975737,0.0018643053869406383,0.0018643053869406383,stage3_l_opt,l_opt_current_alpha,0.0006476388370951769,0.0,1338,6705,ok,10.0
1,5,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[15, 1, 18, 16, 7, 8]","[0.19482864871328734, 0.2002201575179016, 0.18474662852958584, 0.14046359760668284, 0.15490835017529467, 0.12483261745724775]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.9833333333333333]",1,0,False,no_update_baseline,0.0,0,0,0.05534181358551071,0.03276557537416617,0.03276557537416617,stage3_l_opt,l_opt_current_alpha,1.6333333333333333,0.0,4140,21216,ok,10.0
1,5,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,,"[15, 1, 18, 16, 7, 8]","[0.19482864871328734, 0.2002201575179016, 0.18474662852958584, 0.14046359760668284, 0.15490835017529467, 0.12483261745724775]","[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]","[0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.0033333333333333335, 0.9833333333333333]",1,0,False,no_update_baseline,0.0,0,0,0.05534181358551071,0.03276557537416617,0.03276557537416617,stage3_l_opt,l_opt_current_alpha,1.6333333333333333,0.0,4140,21216,ok,10.0
1,5,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[15, 1, 18, 16, 7, 8]","[0.19482864871328734, 0.2002201575179016, 0.18474662852958584, 0.14046359760668284, 0.15490835017529467, 0.12483261745724775]","[0.18184657346956706, 0.10333749648056477, 0.013541666666666667, 0.2699914462490387, 0.2854375214607239, 0.14584529567343887]",[],5,4,False,uninformative_contribution,0.5,4,0,0.018735914941233278,0.03683393821120262,0.03683393821120262,stage3_l_opt,l_opt_current_alpha,,0.0,17718,100392,rejected_uninformative_contribution,
1,5,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[15, 1, 18, 16, 7, 8]","[0.19482864871328734, 0.2002201575179016, 0.18474662852958584, 0.14046359760668284, 0.15490835017529467, 0.12483261745724775]","[0.08372395833333332, 0.09011587990349408, 0.16155123421249293, 0.2533304604407535, 0.1354191534452908, 0.27585931366463534]","[0.003333333333333334, 0.11953458357752594, 0.003333333333333334, 0.6051840021361274, 0.003333333333333334, 0.2652814142863467]",6,5,False,max_rounds,0.125,3,2,0.05527075536040721,0.030623470122615497,0.030623470122615497,stage3_l_opt,l_opt_current_alpha,0.7625444907388115,0.0,21216,112302,ok,10.0
2,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[8, 10, 20]","[0.3707857194733917, 0.30983453618478235, 0.3193797443418259]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.9866652305977446, 0.006668102735588849, 0.006666666666666667]",1,0,False,no_update_baseline,0.0,0,0,0.0001834626648221649,0.008319194739063581,0.008319194739063581,stage3_l_opt,l_opt_current_alpha,1.3066637945288224,0.0,822,1710,ok,10.0
2,2,0.0,0.0,uniform,0,uniform,0.0,guarded,stage1,,,"[8, 10, 20]","[0.3707857194733917, 0.30983453618478235, 0.3193797443418259]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.9866652305977446, 0.006668102735588849, 0.006666666666666667]",1,0,False,no_update_baseline,0.0,0,0,0.0001834626648221649,0.008319194739063581,0.008319194739063581,stage3_l_opt,l_opt_current_alpha,1.3066637945288224,0.0,822,1710,ok,10.0
