agent_id,reputation_share,optimization_weight,contribution_share,surplus_share,bid,payment,seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count
9,0.37783050244682936,0.3333333333333333,0.41671087547428515,0.40115872626330285,1.3,3.7791609283072116,0,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
19,0.3661713185043505,0.3333333333333333,0.1146258316685711,0.21524402640288284,1.3,2.630208083169816,0,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
16,0.25599817904882005,0.3333333333333333,0.4686632928571438,0.3835972473338143,1.22,3.590630988522972,0,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
9,0.5078354539022317,0.9862258243130678,0.993288476505075,0.7991072674639377,1.3,7.213393779233139,0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
19,0.49216454609776816,0.006719888043347694,0.006711523494924963,0.20089273253606224,1.3,2.7866062207668607,0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
12,0.47914489677342104,0.3333333333333333,0.4232695552346036,0.44561969185013056,1.3800000000000001,4.169579270981817,1,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
3,0.32489874050365897,0.3333333333333333,0.29152972632670443,0.30487733199748623,1.1400000000000001,3.048532098304264,1,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
16,0.19595636272291997,0.3333333333333333,0.28520071843869194,0.24950297615238315,1.22,2.7818886307139183,1,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
12,0.47914489677342104,0.40741466747019306,0.4077384868887406,0.4363010508426127,1.3800000000000001,4.111244578274755,1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
3,0.32489874050365897,0.29890097394945797,0.29875056536180167,0.30920983541854463,1.1400000000000001,3.0756535697200897,1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
16,0.19595636272291997,0.293684358580349,0.2935109477494577,0.2544891137388426,1.22,2.8131018520051545,1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
8,0.5447762043385472,0.3333333333333333,0.9932871448970583,0.8138827686736538,1.1400000000000001,7.488285595654499,2,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
10,0.4552237956614528,0.3333333333333333,0.006712855102941793,0.18611723132634622,1.06,2.5117144043455006,2,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
8,0.5372417759412321,0.5318501957227376,0.48906080921980627,0.5083331959083766,1.1400000000000001,5.104998928085337,2,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
20,0.4627582240587679,0.461450685281751,0.5109391907801937,0.49166680409162333,1.06,4.8950010719146615,2,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
18,0.3493537306424939,0.3333333333333333,0.7609663681102717,0.5963213131231606,1.1400000000000001,4.968382830250691,6,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
19,0.37236512971503266,0.3333333333333333,0.1203605529500675,0.22116238365605356,1.3,2.719862503071864,6,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
3,0.2782811396424733,0.3333333333333333,0.11867307893966082,0.18251630322078582,1.1400000000000001,2.3117546666774453,6,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
13,0.4787701414821533,0.3333333333333333,0.8248759860739627,0.686433648237239,1.1400000000000001,6.329438380673526,7,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
9,0.5212298585178468,0.3333333333333333,0.17512401392603733,0.3135663517627611,1.3,3.670561619326474,7,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
9,1.0,0.7489526482186832,1.0,1.0,1.3,10.0,7,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
1,1.0,0.3333333333333333,1.0,1.0,1.22,10.0,9,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
16,0.5753012947861581,0.16722266780408807,0.4916028725222129,0.5250822414277909,1.22,5.231628324508322,9,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
8,0.42469870521384195,0.1727773321959119,0.5083971274777871,0.4749177585722091,1.1400000000000001,4.768371675491677,9,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
8,1.0,0.3333333333333333,1.0,1.0,1.1400000000000001,10.0,10,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
20,0.6735152756140664,0.3333333333333333,0.9932872435674676,0.8653784563861071,1.06,7.60226113027897,11,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
17,0.3264847243859336,0.3333333333333333,0.0067127564325325005,0.13462154361389295,1.3800000000000001,2.3977388697210307,11,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
20,1.0,0.9863475754695024,1.0,1.0,1.06,10.0,11,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
18,0.37706601689927144,0.3333333333333333,0.9649627733568673,0.7298040707738289,1.1400000000000001,5.8253421343679825,12,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
15,0.2557519912584921,0.3333333333333333,0.008443131051744598,0.10736667513444359,1.06,1.749294054363128,12,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
17,0.3671819918422366,0.3333333333333333,0.026594095591388162,0.16282925409172755,1.3800000000000001,2.425363811268891,12,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
18,0.37706601689927144,0.5129991553561495,0.5010945873800305,0.4514831591877269,1.1400000000000001,4.038521881985207,12,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
15,0.2557519912584921,0.47647635113717257,0.4683597573653401,0.38331665092260087,1.06,3.5208928989230976,12,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
17,0.3671819918422366,0.010524493506677982,0.03054565525462944,0.16520018988967233,1.3800000000000001,2.4405852190916963,12,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
17,0.5343819773357096,0.3333333333333333,0.16907107479466837,0.3151954358110849,1.3800000000000001,3.7124462250020285,13,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
6,0.4656180226642905,0.3333333333333333,0.8309289252053316,0.6848045641889151,1.22,6.2875537749979715,13,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
17,0.5343819773357096,0.0070244658780254906,0.00673365382071388,0.21779298322671217,1.3800000000000001,2.99166807587767,13,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
6,0.4656180226642905,0.9862689619713839,0.9932663461792861,0.7822070167732879,1.22,7.00833192412233,13,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
15,0.5496035707254368,0.3333333333333333,0.9917874301447345,0.8149138863770153,1.06,7.4815214246508805,14,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
5,0.4503964292745633,0.3333333333333333,0.008212569855265492,0.18508611362298463,1.06,2.518478575349119,14,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
15,1.0,0.9863279506833472,1.0,1.0,1.06,10.0,14,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,
16,0.5369141968243755,0.3333333333333333,0.2763666375846107,0.38058566128051663,1.22,4.127674452183147,15,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
3,0.46308580317562453,0.3333333333333333,0.7236333624153892,0.6194143387194834,1.1400000000000001,5.872325547816853,15,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
8,0.36554068381743127,0.3333333333333333,0.4934749211597763,0.4423012262228383,1.1400000000000001,3.9795738723506218,16,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
10,0.30588194063743335,0.3333333333333333,0.2912611939045056,0.2971094925976767,1.06,2.9674429424770845,16,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,
