seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
0,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.41671087547428515, 0.1146258316685711, 0.4686632928571438]",1,False,no_update_baseline,0.0,0,0,0.025548551012645616,0.0018865785095840693,0.0018865785095840693,stage3_l_opt,l_opt_current_alpha,0.43741500332952454,0.0,564,1362,ok,10.0
0,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.9864461888207212, 0.006693334024153245, 0.00686047715512559]","[0.9866665533283745, 0.006666780004958796, 0.006666666666666667]",14,True,fixed_point_tolerance,0.5,14,0,0.03140633849761555,0.006924906357501944,0.006924906357501944,stage3_l_opt,l_opt_current_alpha,0.0008814580306134153,0.0,9393,21051,ok,10.0
1,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.4232695552346036, 0.29152972632670443, 0.28520071843869194]",1,False,no_update_baseline,0.0,0,0,0.014061640698106457,0.0020194388926029205,0.0020194388926029205,stage3_l_opt,l_opt_current_alpha,0.17987244380254053,0.0,141,777,ok,10.0
1,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.4075765771794668, 0.2988257696556298, 0.2935976531649034]","[0.4077384868887406, 0.29875056536180167, 0.2935109477494577]",6,True,fixed_point_tolerance,0.5,6,0,0.014579331208975737,0.0018643053869406383,0.0018643053869406383,stage3_l_opt,l_opt_current_alpha,0.0006476388370951769,0.0,1338,6705,ok,10.0
2,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[8, 10, 20]","[0.3707857194733917, 0.30983453618478235, 0.3193797443418259]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.9866652305977446, 0.006668102735588849, 0.006666666666666667]",1,False,no_update_baseline,0.0,0,0,0.0001834626648221649,0.008319194739063581,0.008319194739063581,stage3_l_opt,l_opt_current_alpha,1.3066637945288224,0.0,822,1710,ok,10.0
2,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[8, 10, 20]","[0.3707857194733917, 0.30983453618478235, 0.3193797443418259]","[0.5318501957227376, 0.0066991189955114714, 0.461450685281751]","[0.48580040382500755, 0.006666666666666667, 0.5075329295083257]",20,False,max_rounds,0.5,20,0,0.0011093739083199716,0.008608254914482435,0.008608254914482435,stage3_l_opt,l_opt_current_alpha,0.09216448845314962,0.0,14175,30966,ok,9.999999999999998
3,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[4, 1, 16]","[0.4115740775572319, 0.32587384365854005, 0.262552078784228]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,False,uninformative_contribution,0.0,0,0,0.004999435120968676,0.02738967289527257,0.02738967289527257,stage3_l_opt,l_opt_current_alpha,,0.0,294,1176,rejected_uninformative_contribution,
3,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[4, 1, 16]","[0.4115740775572319, 0.32587384365854005, 0.262552078784228]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,False,uninformative_contribution,0.5,0,0,0.004999435120968676,0.02738967289527257,0.02738967289527257,stage3_l_opt,l_opt_current_alpha,,0.0,294,1176,rejected_uninformative_contribution,
4,2,0.0,0.0,uniform,0,uniform,0.0,fixed,stage1,,,"[10, 8, 20]","[0.4262723871098569, 0.33062692807109606, 0.2431006848190471]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,False,uninformative_contribution,0.0,0,0,0.01943451119062034,0.016788107653458912,0.016788107653458912,stage3_l_opt,l_opt_current_alpha,,0.0,231,849,rejected_uninformative_contribution,
4,2,0.0,0.0,uniform,0,uniform,0.5,fixed,stage1,,,"[10, 8, 20]","[0.4262723871098569, 0.33062692807109606, 0.2431006848190471]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,False,uninformative_contribution,0.5,0,0,0.01943451119062034,0.016788107653458912,0.016788107653458912,stage3_l_opt,l_opt_current_alpha,,0.0,231,849,rejected_uninformative_contribution,
