seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,final_accepted_round,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
0,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[9, 19, 16]","[0.3778305024468295, 0.36617131850435053, 0.2559981790488201]","[0.3434672953765706, 0.3067509531919865, 0.3497817514314429]","[0.41670328808483553, 0.11560216614561065, 0.46769454576955377]",20,5,False,max_rounds,0.05,2,17,0.025226067150815094,0.0018774229877938826,0.0018774229877938826,stage3_l_opt,l_opt_current_alpha,0.3822975740927516,0.0,15189,32754,ok,10.0
1,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[12, 3, 16]","[0.47914489677342104, 0.32489874050365897, 0.19595636272291997]","[0.40741466747019306, 0.29890097394945797, 0.293684358580349]","[0.4077384868887406, 0.29875056536180167, 0.2935109477494577]",6,5,True,fixed_point_tolerance,0.5,5,0,0.014579331208975737,0.0018643053869406383,0.0018643053869406383,stage3_l_opt,l_opt_current_alpha,0.0006476388370951769,0.0,1338,6705,ok,10.0
2,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[8, 10, 20]","[0.3707857194733917, 0.30983453618478235, 0.3193797443418259]","[0.5533854706917235, 0.0182508134681591, 0.42836371584011745]","[0.5023951830990945, 0.014344811105022141, 0.4832600057958833]",20,17,False,max_rounds,0.05,13,6,0.00018353695198486397,0.008319164936741194,0.008319164936741194,stage3_l_opt,l_opt_current_alpha,0.10979257991153182,0.0,14538,29982,ok,10.000000000000002
3,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[4, 1, 16]","[0.4115740775572319, 0.32587384365854005, 0.262552078784228]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.004999435120968676,0.02738967289527257,0.02738967289527257,stage3_l_opt,l_opt_current_alpha,,0.0,294,1176,rejected_uninformative_contribution,
4,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[10, 8, 20]","[0.4262723871098569, 0.33062692807109606, 0.2431006848190471]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.01943451119062034,0.016788107653458912,0.016788107653458912,stage3_l_opt,l_opt_current_alpha,,0.0,231,849,rejected_uninformative_contribution,
5,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[20, 18, 3]","[0.3728539235895875, 0.3526556687394589, 0.2744904076709535]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.0201095437757748,0.020472523445884388,0.020472523445884388,stage3_l_opt,l_opt_current_alpha,,0.0,297,840,rejected_uninformative_contribution,
6,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[18, 19, 3]","[0.3493537306424939, 0.37236512971503266, 0.2782811396424733]","[0.5471498507218026, 0.2268469431417004, 0.22600320613649708]","[0.27644667325092537, 0.361410756850656, 0.3621425698984186]",3,1,False,uninformative_contribution,0.5,1,1,0.0021054256683335736,0.007810634250442187,0.007810634250442187,stage3_l_opt,l_opt_current_alpha,0.5414063549417543,0.0,1752,5376,rejected_uninformative_contribution,
7,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[15, 13, 9]","[0.46598568727126066, 0.2556701080586334, 0.27834420467010595]","[0.010008923946394742, 0.34065831678685854, 0.6493327592667468]","[0.006666666666666667, 0.7498264666671733, 0.24350686666616006]",20,19,False,max_rounds,0.125,17,2,0.0017050674110513642,0.012454299256205559,0.012454299256205559,stage3_l_opt,l_opt_current_alpha,0.8183362997606296,0.0,6117,19971,ok,10.0
8,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[1, 18, 9]","[0.4665876591765998, 0.2816303085285814, 0.2517820322948189]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",[],1,0,False,uninformative_contribution,0.5,0,0,0.015631065190199023,0.00694695549706618,0.00694695549706618,stage3_l_opt,l_opt_current_alpha,,0.0,537,1074,rejected_uninformative_contribution,
9,2,0.0,0.0,uniform,0,uniform,0.5,guarded,stage1,,,"[16, 8, 1]","[0.381457437556298, 0.28159936591932666, 0.33694319652437527]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[0.006666666666666667, 0.006666666666666667, 0.9866666666666667]",3,0,False,uninformative_contribution,0.25,0,2,0.00979288672676772,0.00694693997502327,0.00694693997502327,stage3_l_opt,l_opt_current_alpha,1.3066666666666666,0.0,780,4452,rejected_uninformative_contribution,
