seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,final_accepted_round,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
0,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.5771324013523095, 0.09223636469067263, 0.07651918160605414, 0.05770990332660366, 0.19640214902436018]",1,0,False,no_update_baseline,0.0,0,0,0.002007465785028464,0.015531321366628012,0.015531321366628012,stage3_l_opt,l_opt_current_alpha,0.7542648027046188,0.2,3405,2710,ok,9.999999999999998
0,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.524429836489735, 0.004000876630821378, 0.0050250150243426935, 0.053879724705226215, 0.4126645471498747]","[0.984, 0.004, 0.004, 0.004, 0.004]",20,19,False,max_rounds,0.5,19,0,0.014768675431267628,0.01714421312014262,0.01714421312014262,stage3_l_opt,l_opt_current_alpha,0.9191403270205301,0.524429836489735,26610,51475,ok,10.0
1,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.004, 0.004, 0.004, 0.04082252048274286, 0.9471774795172572]",1,0,False,no_update_baseline,0.0,0,0,0.0024432934588861643,0.017546817660331726,0.017546817660331726,stage3_l_opt,l_opt_current_alpha,1.4943549590345144,0.2,1095,3095,ok,10.0
1,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[0.01687741166735416, 0.2634602695541533, 0.3638838906352645, 0.04748231038724658, 0.30829611775598154]",[],5,4,False,uninformative_contribution,0.5,4,0,0.03698250705334796,0.03603204836448034,0.03603204836448034,stage3_l_opt,l_opt_current_alpha,,0.01687741166735416,3175,15165,rejected_uninformative_contribution,
2,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.4510925661671696e-05, 0.3971784653041459, 0.19838676996741975, 0.3331301173641743, 0.07129013643859818]","[0.2, 0.2, 0.2, 0.2, 0.2]",[],1,0,False,uninformative_contribution,0.0,0,0,0.010939778881647204,0.009688896437486013,0.009688896437486013,stage3_l_opt,l_opt_current_alpha,,0.2,2315,8640,rejected_uninformative_contribution,
2,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.4510925661671696e-05, 0.3971784653041459, 0.19838676996741975, 0.3331301173641743, 0.07129013643859818]","[0.2, 0.2, 0.2, 0.2, 0.2]",[],1,0,False,uninformative_contribution,0.5,0,0,0.010939778881647204,0.009688896437486013,0.009688896437486013,stage3_l_opt,l_opt_current_alpha,,0.2,2315,8640,rejected_uninformative_contribution,
3,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.5604042502995442e-05, 0.36581384804451855, 0.08498693960807281, 0.08716586740163554, 0.4620177409032702]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.004, 0.004, 0.8917492119688847, 0.0962507880311153, 0.004]",1,0,False,no_update_baseline,0.0,0,0,0.014163818486100578,0.011099280168612799,0.011099280168612799,stage3_l_opt,l_opt_current_alpha,1.3834984239377695,0.2,1785,7140,ok,10.0
3,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[1.5604042502995442e-05, 0.36581384804451855, 0.08498693960807281, 0.08716586740163554, 0.4620177409032702]","[0.021489985094532302, 0.007334906553317578, 0.9172923058303397, 0.009763809933835719, 0.04411899258797472]",[],7,6,False,uninformative_contribution,0.5,6,0,0.02303004200828424,0.022895218183596928,0.022895218183596928,stage3_l_opt,l_opt_current_alpha,,0.021489985094532302,13230,51050,rejected_uninformative_contribution,
4,2,0.3,0.0,uniform,0,trimmed,0.0,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[4.3845710194547666e-05, 0.20936326927390417, 0.30968159678506796, 0.14790500406918805, 0.3330062841616452]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.3567791034505506, 0.3973841349564777, 0.10646509254522492, 0.06976170097728843, 0.0696099680704584]",1,0,False,no_update_baseline,0.0,0,0,0.018710285831912477,0.011898176123698553,0.011898176123698553,stage3_l_opt,l_opt_current_alpha,0.7083264768140565,0.2,3755,9795,ok,10.0
4,2,0.3,0.0,uniform,0,trimmed,0.5,fixed,controlled,5,1,"[15, 1, 2, 3, 4]","[4.3845710194547666e-05, 0.20936326927390417, 0.30968159678506796, 0.14790500406918805, 0.3330062841616452]","[0.3396452422810033, 0.2954434627082645, 0.32457680313600845, 0.021180989582273803, 0.01915350229245002]","[0.4882734616747175, 0.027372086347697056, 0.47206041147504224, 0.008294040502543166, 0.004]",20,19,False,max_rounds,0.5,19,0,0.008901979406948077,0.016211232791344326,0.016211232791344326,stage3_l_opt,l_opt_current_alpha,0.5922236554654962,0.3396452422810033,43930,168170,ok,9.999999999999998
