seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,selected_agent_ids,reputation_weights,final_optimization_weights,final_contribution_weights,rounds_executed,converged,stop_reason,final_eta_used,updates_accepted,gate_triggers,final_target_error,final_evaluation_loss,final_delivered_solution_evaluation_loss,final_full_solution_source,final_loo_search_objective,final_consistency_l1,selected_poison_weight,stage3_requests,contribution_requests,payment_status,paid_total
0,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[3.697449648706734e-05, 0.14984511474643689, 0.4737265966771876, 0.231964695539853, 0.14442661854003544]","[0.21885662006761547, 0.19461181823453363, 0.1938259590803027, 0.1928854951663302, 0.199820107451218]","[0.5091969297793153, 0.09906571272861965, 0.09361933502743337, 0.06450851319277785, 0.23360950927185392]",20,False,max_rounds,0.05,11,9,0.005407011563833985,0.015430785715579987,0.015430785715579987,stage3_l_opt,l_opt_current_alpha,0.6482594230646714,0.21885662006761547,61650,53335,ok,10.0
1,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.8712935268155107e-05, 0.03626475100456905, 0.18851922852153685, 0.5790433706179482, 0.19615393692067778]","[0.18167813411465344, 0.1359503016969348, 0.14330316615341054, 0.16351966314369473, 0.3755487348913065]","[0.39719102875385853, 0.02986030691008826, 0.022074778736081737, 0.1119511588208854, 0.4389227267790859]",20,False,max_rounds,0.05,12,8,0.006232791632557119,0.01510435901582241,0.01510435901582241,stage3_l_opt,l_opt_current_alpha,0.5577737730539691,0.18167813411465344,12575,70890,ok,10.0
2,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.4510925661671696e-05, 0.3971784653041459, 0.19838676996741975, 0.3331301173641743, 0.07129013643859818]","[0.2, 0.2, 0.2, 0.2, 0.2]",[],1,False,uninformative_contribution,0.5,0,0,0.010939778881647204,0.009688896437486013,0.009688896437486013,stage3_l_opt,l_opt_current_alpha,,0.2,2315,8640,rejected_uninformative_contribution,
3,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.5604042502995442e-05, 0.36581384804451855, 0.08498693960807281, 0.08716586740163554, 0.4620177409032702]","[0.13909492197520373, 0.13492187500000002, 0.41061784734679924, 0.1670415706476202, 0.14832378503037688]","[0.004, 0.004, 0.8505343249820065, 0.1374656750179935, 0.004]",20,False,max_rounds,0.05,11,9,0.013734931918462947,0.010882647087176641,0.010882647087176641,stage3_l_opt,l_opt_current_alpha,0.8798329552704146,0.13909492197520373,45005,165835,ok,10.0
4,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[4.3845710194547666e-05, 0.20936326927390417, 0.30968159678506796, 0.14790500406918805, 0.3330062841616452]","[0.20783895517252754, 0.2098692067478239, 0.19532325462726124, 0.19348808504886442, 0.1934804984035229]","[0.3184779415942456, 0.3061831338201111, 0.3673389245856434, 0.004, 0.004]",20,False,max_rounds,0.05,10,10,0.010789097044679202,0.015185667822758356,0.015185667822758356,stage3_l_opt,l_opt_current_alpha,0.7579371669047746,0.20783895517252754,55580,175895,ok,10.0
5,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[2.8130033684264264e-05, 0.1536914849375397, 0.2450844056789864, 0.3698635338598678, 0.23133244548992188]","[0.10200000000000001, 0.10200000000000001, 0.10200000000000001, 0.592, 0.10200000000000001]",[],2,False,uninformative_contribution,0.5,1,0,0.03715761159787906,0.0397790198524793,0.0397790198524793,stage3_l_opt,l_opt_current_alpha,,0.10200000000000001,4090,14330,rejected_uninformative_contribution,
6,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.7531970869868334e-05, 0.06596544496746642, 0.21044904597988878, 0.43607838059350645, 0.28748959648826833]","[0.15100000000000002, 0.15100000000000002, 0.15100000000000002, 0.396, 0.15100000000000002]","[0.008915295660696805, 0.06541545082565038, 0.033387148803640944, 0.6415389740865108, 0.25074313062350106]",20,False,max_rounds,0.05,11,9,0.004312960330781129,0.002085598806540171,0.002085598806540171,stage3_l_opt,l_opt_current_alpha,0.6905642094200238,0.15100000000000002,52095,194805,ok,10.0
7,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[5.1997864188056995e-05, 0.1921260360658335, 0.177482230602197, 0.34317242462192676, 0.2871673108458547]","[0.20380061119968904, 0.20252639588712446, 0.198302688780124, 0.19766546887176664, 0.19770483526129587]","[0.27526845987755766, 0.25407891902396496, 0.16654955552551506, 0.15111887279441177, 0.15298419277855052]",20,False,max_rounds,0.05,11,9,0.010856210861585974,0.009151869143048922,0.009151869143048922,stage3_l_opt,l_opt_current_alpha,0.24604074362941827,0.20380061119968904,29365,140075,ok,10.0
8,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.1650676905008068e-05, 0.5648165438065024, 0.11025544073227393, 0.28669419245259165, 0.03822217233172725]","[0.19751428545746516, 0.19129632333607477, 0.20399905029064258, 0.20589549708275864, 0.20129484383305887]","[0.16802972114776862, 0.04123236180599618, 0.009972412371168096, 0.47324765532187146, 0.30751784935319554]",20,False,max_rounds,0.05,11,9,0.01764262006953686,0.0031754945715268454,0.0031754945715268454,stage3_l_opt,l_opt_current_alpha,0.7471503275184991,0.19751428545746516,40975,164990,ok,10.0
9,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.4511585698600714e-05, 0.31730209124404146, 0.17527268110673042, 0.25086150173874877, 0.2565492143247809]","[0.2, 0.2, 0.2, 0.2, 0.2]",[],1,False,uninformative_contribution,0.5,0,0,0.010684899365535357,0.013129315959910551,0.013129315959910551,stage3_l_opt,l_opt_current_alpha,,0.2,1795,10175,rejected_uninformative_contribution,
10,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[3.880931385354106e-05, 0.2126285711684439, 0.19996790713217852, 0.11221833421439838, 0.47514637817112565]","[0.10200000000000001, 0.1437113850363767, 0.10761934943617703, 0.38881934032221255, 0.25784992520523375]","[0.004, 0.004, 0.984, 0.004, 0.004]",20,False,max_rounds,0.05,11,9,0.005323104455920574,0.010367070014278093,0.010367070014278093,stage3_l_opt,l_opt_current_alpha,1.7527613011276462,0.10200000000000001,41095,94530,ok,10.0
11,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[2.0915473112553886e-05, 0.2783186153922114, 0.3112011667562441, 0.31351073630522674, 0.09694856607320518]","[0.1628141715234746, 0.2352733273522796, 0.16990824963197204, 0.21021510976608673, 0.2217891417261869]",[],5,False,uninformative_contribution,0.25,3,1,0.002823081021736583,0.021947826569279034,0.021947826569279034,stage3_l_opt,l_opt_current_alpha,,0.1628141715234746,12060,38960,rejected_uninformative_contribution,
12,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[2.3715650421973248e-05, 0.6520047603629564, 0.048802997178967696, 0.16071962719525115, 0.1384488996124028]","[0.13419789072560576, 0.13355276718078113, 0.13413271685540715, 0.2235944031641247, 0.37452222207408126]","[0.016353126269147075, 0.01937584175516339, 0.011743709647138436, 0.6515326961827733, 0.30099462614577777]",20,False,max_rounds,0.05,12,8,0.02064430705699727,0.010884940003355345,0.010884940003355345,stage3_l_opt,l_opt_current_alpha,0.8558765860372972,0.13419789072560576,41705,194970,ok,10.0
13,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[2.2913323808352608e-05, 0.18405664842243655, 0.37100906078117074, 0.19717801832772475, 0.24773335914485947]","[0.20513933713050117, 0.20619424813658863, 0.20790075256474344, 0.19056566216816678, 0.1902]","[0.30669070846259433, 0.006907711642075715, 0.32406584441583053, 0.35833573547949943, 0.004]",20,False,max_rounds,0.05,10,10,0.008089392162545827,0.010529623987774054,0.010529623987774054,stage3_l_opt,l_opt_current_alpha,0.7709730729890258,0.20513933713050117,43425,184630,ok,10.0
14,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[4.232946021113949e-05, 0.11083162412558545, 0.10532268789353486, 0.5631019856649274, 0.22070137285574118]","[0.15100000000000002, 0.15100000000000002, 0.15100000000000002, 0.15100000000000002, 0.396]","[0.3595975745833927, 0.004, 0.44567213135402306, 0.13868632580070978, 0.05204396826187449]",20,False,max_rounds,0.05,11,9,0.006839444478000197,0.0068010662992795306,0.0068010662992795306,stage3_l_opt,l_opt_current_alpha,1.0065394118748316,0.15100000000000002,6950,148435,ok,9.999999999999998
15,2,0.3,0.0,uniform,0,trimmed,0.5,guarded,controlled,5,1,"[15, 1, 2, 3, 4]","[1.6393653359256187e-05, 0.37029495637411625, 0.09661245520439424, 0.43423056371511676, 0.09884563105301342]","[0.04152976913118831, 0.4589087532178092, 0.049892080689424446, 0.4014868255042573, 0.04818257145732075]","[0.03560028886944383, 0.3910952564858202, 0.047780181750139275, 0.3279905699390023, 0.1975337029555944]",20,False,max_rounds,0.05,12,8,0.006076687430846554,0.010369614077111086,0.010369614077111086,stage3_l_opt,l_opt_current_alpha,0.29870226299654734,0.04152976913118831,41220,184220,ok,10.0
