seed,dimension,poison_ratio,target,initialization,initialization_replicate,evaluator,update_rate,update_policy,coalition_mode,controlled_coalition_size,controlled_poison_count,round,target_error,stage3_engine,stage3_engine_losses,evaluation_loss,delivered_solution_evaluation_loss,full_solution_source,loo_search_objective,consistency_l1,update_l1,eta_used,update_accepted,gate_triggered,eval_loss_delta,informative,stage3_requests_cumulative,contribution_requests_cumulative
0,2,0.3,0.0,uniform,0,trimmed,0.0,guarded,controlled,5,1,0,0.002007465785028464,bfgs,"{""bfgs"": 0.015895250439643863, ""custom"": 0.01957568377256394}",0.015531321366628012,0.015531321366628012,stage3_l_opt,l_opt_current_alpha,0.7542648027046188,0.0,0.0,False,False,,True,3405,2710
0,2,0.3,0.0,uniform,0,trimmed,0.3,guarded,controlled,5,1,0,0.002007465785028464,bfgs,"{""bfgs"": 0.015895250439643863, ""custom"": 0.01957568377256394}",0.015531321366628012,0.015531321366628012,stage3_l_opt,l_opt_current_alpha,0.7542648027046188,0.22627944081138565,0.3,True,False,,True,3405,2710
0,2,0.3,0.0,uniform,0,trimmed,0.3,guarded,controlled,5,1,1,0.01590756657252393,custom,"{""bfgs"": 0.05729248011636599, ""custom"": 0.01624436370455216}",0.016243673861026764,0.016243673861026764,stage3_l_opt,l_opt_current_alpha,0.7323160545269243,0.22627944081138565,0.15,False,True,0.0007123524943987523,True,5215,5045
0,2,0.3,0.0,uniform,0,trimmed,0.3,guarded,controlled,5,1,2,0.002007465785028464,bfgs,"{""bfgs"": 0.015895250439643863, ""custom"": 0.01957568377256394}",0.015531321366628012,0.015531321366628012,stage3_l_opt,l_opt_current_alpha,0.7542648027046188,0.11313972040569284,0.15,True,False,0.0,True,8620,7755
0,2,0.3,0.0,uniform,0,trimmed,0.3,guarded,controlled,5,1,3,0.014712029386202849,custom,"{""bfgs"": 0.0567880053546422, ""custom"": 0.01776156700970104}",0.017267271876335144,0.017267271876335144,stage3_l_opt,l_opt_current_alpha,1.2383718692768437,0.11313972040569284,0.075,False,True,0.0017359505097071324,True,10175,10570
0,2,0.3,0.0,uniform,0,trimmed,0.3,guarded,controlled,5,1,4,0.002007465785028464,bfgs,"{""bfgs"": 0.015895250439643863, ""custom"": 0.01957568377256394}",0.015531321366628012,0.015531321366628012,stage3_l_opt,l_opt_current_alpha,0.7542648027046188,0.056569860202846545,0.075,True,False,0.0,True,13580,13280
0,5,0.3,0.0,uniform,0,trimmed,0.0,guarded,controlled,5,1,0,0.02431038525329329,bfgs,"{""bfgs"": 0.015749897062778476, ""custom"": 0.040572999417781835}",0.01346965879201889,0.01346965879201889,stage3_l_opt,l_opt_current_alpha,1.0341893100422024,0.0,0.0,False,False,,True,2240,10215
0,5,0.3,0.0,uniform,0,trimmed,0.3,guarded,controlled,5,1,0,0.02431038525329329,bfgs,"{""bfgs"": 0.015749897062778476, ""custom"": 0.040572999417781835}",0.01346965879201889,0.01346965879201889,stage3_l_opt,l_opt_current_alpha,1.0341893100422024,0.31025679301266074,0.3,True,False,,True,2240,10215
0,5,0.3,0.0,uniform,0,trimmed,0.3,guarded,controlled,5,1,1,0.006090697771277298,bfgs,"{""bfgs"": 0.027817523553764344, ""custom"": 0.028812015937219954}",0.007620359460512797,0.007620359460512797,stage3_l_opt,l_opt_current_alpha,0.6362946755977499,0.19088840267932494,0.3,True,False,-0.005849299331506093,True,6330,20980
0,5,0.3,0.0,uniform,0,trimmed,0.3,guarded,controlled,5,1,2,0.053904262869487435,bfgs,"{""bfgs"": 0.07836178933148076, ""custom"": 0.15623914678000533}",0.05399265388647715,0.05399265388647715,stage3_l_opt,l_opt_current_alpha,0.9121368777762008,0.19088840267932494,0.15,False,True,0.046372294425964355,True,8930,32940
