seed,D,rho,target_T,agent_id,alpha,bid,marginal_contribution,positive_contribution,alpha_share,contribution_share,profit_share,payment
0,2,0.0,0.0,2,0.3697460344386321,1.3800000000000001,0.2862990600988269,0.2862990600988269,0.36974603443863213,0.8063546278070313,0.6317111904596716,5.233438261803997
0,2,0.0,0.0,6,0.31161196057171725,1.22,0.044735788367688656,0.044735788367688656,0.3116119605717173,0.12599730493851352,0.20024316719179502,2.4414833198699495
0,2,0.0,0.0,19,0.31864200498965056,1.3,0.024018685333430767,0.024018685333430767,0.3186420049896506,0.06764806725445524,0.16804564234853342,2.3250784183260538
0,5,0.0,0.0,11,0.2654586476357872,1.3099999999999998,0.03280330263078213,0.03280330263078213,0.26545864763578725,0.12780654194512867,0.1828673842213921,1.7159655929714903
0,5,0.0,0.0,3,0.2176939434075633,1.23,0.041973741725087166,0.041973741725087166,0.21769394340756332,0.16353593547459963,0.18519913864778512,1.6411420877980831
0,5,0.0,0.0,2,0.17616770862908518,1.47,0.04017791710793972,0.04017791710793972,0.1761677086290852,0.15653913588887214,0.16439056498495735,1.8349470542666055
0,5,0.0,0.0,5,0.10364736916246343,1.15,0.05570276640355587,0.05570276640355587,0.10364736916246345,0.21702625589093083,0.17167470119954387,1.5311178366629874
0,5,0.0,0.0,16,0.11182075975203729,1.3099999999999998,0.060669539496302605,0.060669539496302605,0.1118207597520373,0.23637754197193656,0.18655482908397686,1.7241517205664285
0,5,0.0,0.0,1,0.1252115714130635,1.3099999999999998,0.025336453691124916,0.025336453691124916,0.12521157141306352,0.09871458882853221,0.10931338186234474,1.552675707734405
0,10,0.0,0.0,7,0.3769855120114986,1.62,0.05734714865684509,0.05734714865684509,0.3769855120114986,0.12397358437887905,0.22517835543192688,2.2820243649698653
0,10,0.0,0.0,8,0.16723608543681426,1.3800000000000001,0.021723352372646332,0.021723352372646332,0.16723608543681426,0.04696173953612836,0.09507147789640272,1.6595101450154242
0,10,0.0,0.0,15,0.13520988768701386,1.3,0.06170237064361572,0.06170237064361572,0.13520988768701386,0.13338874264065273,0.1341172006591972,1.69430456993804
0,10,0.0,0.0,11,0.17831910620696503,1.46,0.2837299406528473,0.2837299406528473,0.17831910620696503,0.6133699505937256,0.43934961283902135,2.751687861746723
0,10,0.0,0.0,10,0.14224940865770824,1.3,0.03807273507118225,0.03807273507118225,0.14224940865770824,0.08230598285061429,0.10628335317345186,1.6124730583299485
1,2,0.0,0.0,7,0.5037475651878578,1.3800000000000001,0.07800121768377721,0.07800121768377721,0.5037475651878578,0.47844031931040937,0.48856321766138877,4.360235627734472
1,2,0.0,0.0,3,0.31712648067710614,1.1400000000000001,0.05560699268244207,0.05560699268244207,0.31712648067710614,0.3410796411247878,0.33149837694571516,3.1621400993688624
1,2,0.0,0.0,12,0.1791259541350361,1.3800000000000001,0.02942407294176519,0.02942407294176519,0.1791259541350361,0.18048003956480288,0.17993840539289618,2.4776242728966666
1,5,0.0,0.0,5,0.31771104131844236,1.15,0.5506337843835354,0.5506337843835354,0.31771104131844236,0.6853293918920486,0.5382820516626061,3.1362607706350167
1,5,0.0,0.0,15,0.223453067053401,1.15,0.21428288146853447,0.21428288146853447,0.223453067053401,0.2667005930522736,0.24940158265272458,2.0702918399885535
1,5,0.0,0.0,16,0.1718026840550463,1.3099999999999998,0.009598691016435623,0.009598691016435623,0.1718026840550463,0.01194671533752369,0.07588910282453273,1.5900307894225256
1,5,0.0,0.0,18,0.17128851507102721,1.23,0.017126522958278656,0.017126522958278656,0.17128851507102721,0.021315999666389664,0.08130500582824468,1.5300154715062229
1,5,0.0,0.0,12,0.1157446925020831,1.47,0.011816706508398056,0.011816706508398056,0.1157446925020831,0.014707300051764498,0.055122257031891934,1.6734011284476813
1,10,0.0,0.0,10,0.28355751216626235,1.3,0.3195972219109535,0.3195972219109535,0.28355751216626235,0.24842581681105186,0.262478494953136,2.029690215969718
1,10,0.0,0.0,6,0.2206604637136595,1.46,0.2149183228611946,0.2149183228611946,0.2206604637136595,0.16705795996978207,0.18849896146733303,1.9840271128791858
1,10,0.0,0.0,17,0.22421532264953328,1.62,0.0048929303884506226,0.0048929303884506226,0.22421532264953328,0.0038033191311316696,0.09196812053849232,1.8756713750970087
1,10,0.0,0.0,20,0.15315115418510847,1.3,0.058236077427864075,0.058236077427864075,0.15315115418510847,0.04526743072541381,0.08842092010929167,1.5458101579038308
1,10,0.0,0.0,9,0.11841554728543639,1.54,0.6888450160622597,0.6888450160622597,0.11841554728543639,0.5354454733626206,0.3686335029317469,2.5648011381502567
2,2,0.0,0.0,10,0.550320962416338,1.06,0.005550901405513287,0.005550901405513287,0.550320962416338,0.03001989772331978,0.23814032360052706,2.665065781067552
2,2,0.0,0.0,20,0.30879153889220917,1.06,0.15418500639498234,0.15418500639498234,0.30879153889220917,0.8338498172295986,0.6238265058946428,5.264590649729893
2,2,0.0,0.0,18,0.14088749869145287,1.1400000000000001,0.025171497836709023,0.025171497836709023,0.14088749869145287,0.13613028504708166,0.13803317050483016,2.0703435692025556
