seed,D,rho,target_T,round,coalition_ids,base_loss,removed_agent_id,status
0,2,0.0,0.0,0,"[2, 6, 19]",0.007289965637028217,,stable
0,5,0.0,0.0,0,"[11, 3, 2, 5, 16, 1]",0.014882201328873634,,stable
0,10,0.0,0.0,0,"[7, 8, 15, 11, 10]",0.048717230558395386,,stable
1,2,0.0,0.0,0,"[7, 3, 12]",0.003560422221198678,,stable
1,5,0.0,0.0,0,"[5, 15, 16, 18, 7, 12]",0.03426125645637512,7,removed_negative_contributor
1,5,0.0,0.0,1,"[5, 15, 16, 18, 12]",0.02245223894715309,,stable
1,10,0.0,0.0,0,"[10, 6, 17, 20, 9]",0.06577911227941513,,stable
2,2,0.0,0.0,0,"[10, 20, 18]",0.009393876418471336,,stable
2,5,0.0,0.0,0,"[3, 9, 19, 5, 16, 10]",0.014419645071029663,,stable
2,10,0.0,0.0,0,"[9, 16, 6, 20, 11]",0.035448890179395676,11,removed_negative_contributor
2,10,0.0,0.0,1,"[9, 16, 6, 20]",0.01077079214155674,,stable
