seed,D,rho,target_T,round,coalition_ids,base_loss,removed_agent_id,status
0,2,0.0,0.0,0,"[2, 6, 19]",0.007289965637028217,,stable
0,2,0.3,0.0,0,"[2, 6, 9]",0.007156573235988617,,stable
0,2,0.4,0.0,0,"[2, 6, 9]",0.007156573235988617,,stable
1,2,0.0,0.0,0,"[7, 3, 12]",0.003560422221198678,,stable
1,2,0.3,0.0,0,"[7, 3, 12]",0.003560422221198678,,stable
1,2,0.4,0.0,0,"[7, 3, 12]",0.003560422221198678,,stable
2,2,0.0,0.0,0,"[10, 20, 18]",0.009393876418471336,,stable
2,2,0.3,0.0,0,"[10, 8, 2]",0.00244701886549592,,stable
2,2,0.4,0.0,0,"[10, 8, 2]",0.00244701886549592,,stable
3,2,0.0,0.0,0,"[17, 4, 18]",0.005393603816628456,,stable
3,2,0.3,0.0,0,"[4, 6, 1]",0.0044234502129256725,,stable
3,2,0.4,0.0,0,"[4, 6, 1]",0.0044234502129256725,,stable
4,2,0.0,0.0,0,"[12, 10, 13]",0.007751311641186476,,stable
4,2,0.3,0.0,0,"[12, 10, 13]",0.007751311641186476,,stable
4,2,0.4,0.0,0,"[12, 10, 8]",0.0018340281676501036,,stable
