seed,D,rho,target_T,num_agents,num_poisoned,passed_agents,selected_agents,final_coalition_ids,final_error,stage1_requests,stage2_requests,stage3_requests,stage3_5_requests,stage4_requests,additional_contribution_requests,additional_query_ratio,filtering_precision,filtering_recall,selected_poison_rate,payment_status,total_budget,minimum_bid_sum,paid_total
0,2,0.0,0.0,20,0,20,3,"[2, 6, 19]",0.011727903296955944,20,0,201,957,957,1914,9.522388059701493,0.0,,0.0,ok,10.0,3.9000000000000004,10.0
0,2,0.3,0.0,20,6,14,3,"[2, 6, 9]",0.025247778177907465,20,0,249,75,75,150,0.6024096385542169,0.35294117647058826,1.0,0.0,ok,10.0,3.9000000000000004,10.0
0,2,0.4,0.0,20,8,12,3,"[2, 6, 9]",0.025247778177907465,20,0,249,75,75,150,0.6024096385542169,0.47058823529411764,1.0,0.0,ok,10.0,3.9000000000000004,10.0
1,2,0.0,0.0,20,0,20,3,"[7, 3, 12]",0.004317217557081615,20,0,333,165,165,330,0.990990990990991,0.0,,0.0,ok,10.0,3.9000000000000004,10.0
1,2,0.3,0.0,20,6,14,3,"[7, 3, 12]",0.004317217557081615,20,0,333,165,165,330,0.990990990990991,0.35294117647058826,1.0,0.0,ok,10.0,3.9000000000000004,10.0
1,2,0.4,0.0,20,8,12,3,"[7, 3, 12]",0.004317217557081615,20,0,333,165,165,330,0.990990990990991,0.47058823529411764,1.0,0.0,ok,10.0,3.9000000000000004,10.0
2,2,0.0,0.0,20,0,20,3,"[10, 20, 18]",0.009232538492430553,20,0,303,390,390,780,2.5742574257425743,0.0,,0.0,ok,10.0,3.2600000000000002,10.0
2,2,0.3,0.0,20,6,14,3,"[10, 8, 2]",0.022537462489669452,20,0,282,663,663,1326,4.702127659574468,0.35294117647058826,1.0,0.0,ok,10.0,3.58,10.0
2,2,0.4,0.0,20,8,12,3,"[10, 8, 2]",0.022537462489669452,20,0,282,663,663,1326,4.702127659574468,0.47058823529411764,1.0,0.0,ok,10.0,3.58,10.0
3,2,0.0,0.0,20,0,20,3,"[17, 4, 18]",0.009659544329673586,20,0,177,75,75,150,0.847457627118644,0.0,,0.0,ok,10.0,3.8200000000000003,10.0
3,2,0.3,0.0,20,6,14,3,"[4, 6, 1]",0.003322520711362298,20,0,324,93,93,186,0.5740740740740741,0.35294117647058826,1.0,0.0,ok,10.0,3.74,10.0
3,2,0.4,0.0,20,8,12,3,"[4, 6, 1]",0.003322520711362298,20,0,324,93,93,186,0.5740740740740741,0.47058823529411764,1.0,0.0,ok,10.0,3.74,10.0
4,2,0.0,0.0,20,0,20,3,"[12, 10, 13]",0.010140371800562063,20,0,234,102,102,204,0.8717948717948718,0.0,,0.0,ok,10.0,3.5800000000000005,10.0
4,2,0.3,0.0,20,6,14,3,"[12, 10, 13]",0.010140371800562063,20,0,234,102,102,204,0.8717948717948718,0.35294117647058826,1.0,0.0,ok,10.0,3.5800000000000005,10.0
4,2,0.4,0.0,20,8,12,3,"[12, 10, 8]",0.009243042327801258,20,0,330,516,516,1032,3.1272727272727274,0.47058823529411764,1.0,0.0,ok,10.0,3.5800000000000005,10.0
